county,hd_cat
Beaverhead,Small
Big Horn,Medium
Blaine,Small
Broadwater,Small
Carbon,Medium
Carter,Frontier
Cascade,Large
Chouteau,Small
Custer,Medium
Daniels,Frontier
Dawson,Small
Deer Lodge,Small
Fallon,Frontier
Fergus,Medium
Flathead,Large
Gallatin,Large
Garfield,Frontier
Glacier,Medium
Golden Valley,Medium
Granite,Frontier
Hill,Medium
Jefferson,Medium
Judith Basin,Medium
Lake,Large
Lewis and Clark,Large
Liberty,Frontier
Lincoln,Medium
McCone,Frontier
Madison,Small
Meagher,Frontier
Mineral,Small
Missoula,Large
Musselshell,Medium
Park,Medium
Petroleum,Medium
Phillips,Frontier
Pondera,Small
Powder River,Frontier
Powell,Small
Prairie,Frontier
Ravalli,Large
Richland,Medium
Roosevelt,Medium
Rosebud,Small
Sanders,Small
Sheridan,Frontier
Silver Bow,Large
Stillwater,Medium
Sweet Grass,Frontier
Teton,Small
Toole,Small
Treasure,Frontier
Valley,Small
Wheatland,Medium
Wibaux,Frontier
Yellowstone,Large
