"resp_id","region","size","sup_status","current_credentials","cred_recat","current_credentials_list","credentials_interest","credentials_interest_list","credentials_interest_list_other","Degrees","assoc_degree_other","bach_degree_other","master_degree_other","degree_pursuing","pursuing_degree_asso_other","pursuing_degree_bach_other","pursuing_degree_master_other","pursuing_degree_phPhd_other","pursuing_degree_phd_other","degree_concentration_other","primary_concentration_degree","primary_concentration_degree_other","highest_degree","degree_recat"
1,"Region 1","Small","Supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
2,"Region 1","Small","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified in Public Health (CPH)",NA,"Other associate degree (please specify)","General Studies",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Associates","less than Bachelors"
3,"Region 4","Large","Non-supervisor","Other Certification (please specify)","certified","Registered Sanitarian; Lead Inspector; Lead Assessor","Yes","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS),Other Certification (please specify)","Lead Inspector; Lead Assessor","High school or equivalent,BS/BA,MEd",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Masters or higher","Bachelors or higher"
4,"Region 1","Medium","Supervisor","Nurse certification (RN, LPN, NP, BSN)","certified",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH),Physical Activity in Public Health Specialist (PAPHS)",NA,"BS/BA,BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Community / Population Health",NA,"Bachelors","Bachelors or higher"
5,"Region 4","Large","Non-supervisor","Other Certification (please specify)","certified","Certified Pediatric Nurse","Yes","Certified in Public Health (CPH)",NA,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bachelors","Bachelors or higher"
6,"Region 4","Large","Supervisor","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)","certified",NA,"Yes","Certified Professional - Food Safety (CP-FS) and/or Certified Foodborne Outbreak Investigator",NA,"BS/BA,MA/MS,PhD/ScD/other non-public health doctorate (please specify)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Masters or higher","Bachelors or higher"
7,"Region 4","Large","Non-supervisor","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)","certified",NA,"No",NA,NA,"High school or equivalent,BS/BA,MPH",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (please specify)","Generalist - no concentration","Masters or higher","Bachelors or higher"
8,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Other Certification (please specify)","Billing/Coding","BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
9,"Region 4","Large","Non-supervisor","Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Certified Community Health Worker","certified",NA,"No",NA,NA,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
10,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Community Health Worker,Certified in Public Health (CPH)",NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
11,"Region 1","Small","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
12,"Region 1","Small","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High school or equivalent","less than Bachelors"
13,"Region 4","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"No",NA,NA,"MBA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masters or higher","Bachelors or higher"
14,"Region 4","Large","Supervisor","Not formally certified","Not formally certified",NA,"Yes","Other Certification (please specify)","Anything that would assist the department","BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Bachelors","Bachelors or higher"
15,"Region 5","Large","Non-supervisor","Not formally certified","Not formally certified",NA,"Yes","Certified Community Health Worker,Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH),Physical Activity in Public Health Specialist (PAPHS),Other Certification (please specify)","HIPAA certification, RHIT (credential for my degree), Medical Assistant","Other associate degree (please specify)","Associates of Applied Science in Health Information Technology",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Associates","less than Bachelors"
