topic,data_imp,data_skill
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Somewhat important,NA
id_sources,Moderately important,Proficient
id_sources,Very important,Proficient
id_sources,Somewhat important,NA
id_sources,Moderately important,Beginner
id_sources,Somewhat important,NA
id_sources,Very important,Proficient
id_sources,Moderately important,Proficient
id_sources,Very important,Proficient
id_sources,Somewhat important,NA
id_sources,Not Important,NA
id_sources,Moderately important,Beginner
id_sources,Moderately important,Proficient
id_sources,Moderately important,Proficient
id_sources,Moderately important,Proficient
id_sources,Moderately important,Proficient
id_sources,Somewhat important,NA
id_sources,Very important,Proficient
id_sources,Very important,Beginner
id_sources,Moderately important,Proficient
id_sources,Very important,Unable to perform
id_sources,Very important,Beginner
id_sources,NA,NA
id_sources,Moderately important,Proficient
id_sources,Very important,Proficient
id_sources,Moderately important,Proficient
id_sources,Very important,Expert
id_sources,Somewhat important,NA
id_sources,Moderately important,Proficient
id_sources,NA,NA
id_sources,Somewhat important,NA
id_sources,Moderately important,Unable to perform
id_sources,Moderately important,Proficient
id_sources,Very important,Beginner
id_sources,Somewhat important,NA
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,NA,NA
id_sources,Very important,Proficient
id_sources,Moderately important,Proficient
id_sources,Very important,Beginner
id_sources,Moderately important,Proficient
id_sources,Moderately important,Proficient
id_sources,NA,NA
id_sources,Very important,Expert
id_sources,Very important,Proficient
id_sources,Somewhat important,NA
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,NA,NA
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Somewhat important,NA
id_sources,Moderately important,Proficient
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Moderately important,Beginner
id_sources,Very important,Proficient
id_sources,Somewhat important,NA
id_sources,Moderately important,Proficient
id_sources,Moderately important,Proficient
id_sources,Somewhat important,NA
id_sources,Moderately important,Expert
id_sources,Moderately important,Beginner
id_sources,Moderately important,Proficient
id_sources,Very important,Beginner
id_sources,Very important,Proficient
id_sources,Moderately important,Proficient
id_sources,Moderately important,Proficient
id_sources,Very important,Proficient
id_sources,Somewhat important,NA
id_sources,Somewhat important,NA
id_sources,Very important,Proficient
id_sources,Moderately important,Beginner
id_sources,Moderately important,Proficient
id_sources,Moderately important,Proficient
id_sources,Somewhat important,NA
id_sources,Somewhat important,NA
id_sources,Moderately important,Proficient
id_sources,Very important,Proficient
id_sources,Moderately important,Proficient
id_sources,Moderately important,Beginner
id_sources,NA,NA
id_sources,Very important,Proficient
id_sources,Moderately important,Proficient
id_sources,Moderately important,Proficient
id_sources,Very important,Proficient
id_sources,Moderately important,Proficient
id_sources,Very important,Proficient
id_sources,Somewhat important,NA
id_sources,Moderately important,Proficient
id_sources,Very important,Proficient
id_sources,Very important,Beginner
id_sources,Somewhat important,NA
id_sources,Somewhat important,NA
id_sources,Very important,Expert
id_sources,Moderately important,Proficient
id_sources,Very important,Proficient
id_sources,Very important,Expert
id_sources,Moderately important,Beginner
id_sources,Very important,Expert
id_sources,Somewhat important,NA
id_sources,Somewhat important,NA
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Somewhat important,NA
id_sources,Very important,Expert
id_sources,Very important,Proficient
id_sources,Very important,Beginner
id_sources,Moderately important,Proficient
id_sources,Very important,Proficient
id_sources,Very important,Expert
id_sources,Moderately important,Proficient
id_sources,Somewhat important,NA
id_sources,Moderately important,Proficient
id_sources,Very important,Beginner
id_sources,Moderately important,Beginner
id_sources,Moderately important,Proficient
id_sources,NA,NA
id_sources,Moderately important,Beginner
id_sources,Moderately important,Proficient
id_sources,Somewhat important,NA
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Moderately important,Proficient
id_sources,NA,NA
id_sources,Very important,Proficient
id_sources,Somewhat important,NA
id_sources,Moderately important,Proficient
id_sources,Moderately important,Proficient
id_sources,Moderately important,Beginner
id_sources,Moderately important,Proficient
id_sources,Very important,Beginner
id_sources,Moderately important,Beginner
id_sources,Very important,Beginner
id_sources,Moderately important,Proficient
id_sources,Not Important,NA
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Moderately important,Beginner
id_sources,Somewhat important,NA
id_sources,Very important,Proficient
id_sources,Somewhat important,NA
id_sources,Very important,Proficient
id_sources,Moderately important,Proficient
id_sources,Very important,Beginner
id_sources,Very important,Beginner
id_sources,Very important,Proficient
id_sources,Moderately important,Proficient
id_sources,Very important,Proficient
id_sources,Very important,Beginner
id_sources,NA,NA
id_sources,Moderately important,Proficient
id_sources,Very important,Proficient
id_sources,Moderately important,Beginner
id_sources,Very important,Beginner
id_sources,NA,NA
id_sources,Very important,Expert
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Moderately important,Proficient
id_sources,Very important,Beginner
id_sources,Moderately important,Proficient
id_sources,Somewhat important,NA
id_sources,Very important,Proficient
id_sources,Moderately important,Beginner
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Moderately important,Beginner
id_sources,NA,NA
id_sources,Somewhat important,NA
id_sources,Somewhat important,NA
id_sources,Moderately important,Proficient
id_sources,Somewhat important,NA
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Somewhat important,NA
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Somewhat important,NA
id_sources,Moderately important,Beginner
id_sources,Very important,Proficient
id_sources,Moderately important,Proficient
id_sources,Not Important,NA
id_sources,Moderately important,Proficient
id_sources,Moderately important,Proficient
id_sources,Somewhat important,NA
id_sources,Moderately important,Proficient
id_sources,Very important,Expert
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Moderately important,Unable to perform
id_sources,Very important,Proficient
id_sources,Moderately important,Beginner
id_sources,Somewhat important,NA
id_sources,Somewhat important,NA
id_sources,Moderately important,Proficient
id_sources,Very important,Proficient
id_sources,Moderately important,Proficient
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Moderately important,Proficient
id_sources,Moderately important,Beginner
id_sources,Moderately important,Proficient
id_sources,NA,NA
id_sources,Very important,Expert
id_sources,Moderately important,Proficient
id_sources,Moderately important,Beginner
id_sources,Very important,Beginner
id_sources,Very important,Proficient
id_sources,Somewhat important,NA
id_sources,Very important,Proficient
id_sources,Somewhat important,NA
id_sources,NA,NA
id_sources,Very important,Beginner
id_sources,Very important,Proficient
id_sources,Somewhat important,NA
id_sources,Somewhat important,NA
id_sources,Not Important,NA
id_sources,Moderately important,Proficient
id_sources,Not Important,NA
id_sources,Moderately important,Unable to perform
id_sources,Moderately important,Proficient
id_sources,Very important,Proficient
id_sources,Moderately important,Beginner
id_sources,Very important,Beginner
id_sources,Moderately important,Beginner
id_sources,NA,NA
id_sources,Very important,Proficient
id_sources,Moderately important,Proficient
id_sources,Moderately important,Beginner
id_sources,Very important,Proficient
id_sources,Very important,Beginner
id_sources,Somewhat important,NA
id_sources,Very important,Proficient
id_sources,Moderately important,Beginner
id_sources,Somewhat important,NA
id_sources,Very important,Expert
id_sources,Moderately important,Proficient
id_sources,Moderately important,Proficient
id_sources,Moderately important,Proficient
id_sources,Moderately important,Unable to perform
id_sources,Very important,Proficient
id_sources,Moderately important,Proficient
id_sources,Very important,Beginner
id_sources,Not Important,NA
id_sources,Moderately important,Beginner
id_sources,Not Important,NA
id_sources,Somewhat important,NA
id_sources,Very important,Expert
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Somewhat important,NA
id_sources,Not Important,NA
id_sources,NA,NA
id_sources,Somewhat important,NA
id_sources,Somewhat important,NA
id_sources,Very important,Expert
id_sources,NA,NA
id_sources,Somewhat important,NA
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Moderately important,Proficient
id_sources,Moderately important,Beginner
id_sources,Very important,Beginner
id_sources,Very important,Proficient
id_sources,Moderately important,Proficient
id_sources,Moderately important,Beginner
id_sources,Not Important,NA
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Not Important,NA
id_sources,NA,NA
id_sources,Not Important,NA
id_sources,Not Important,NA
id_sources,Somewhat important,NA
id_sources,NA,NA
id_sources,Moderately important,Proficient
id_sources,Moderately important,Proficient
id_sources,Very important,Proficient
id_sources,Somewhat important,NA
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Moderately important,Proficient
id_sources,Moderately important,Proficient
id_sources,NA,NA
id_sources,Moderately important,Proficient
id_sources,Somewhat important,NA
id_sources,Very important,Proficient
id_sources,Very important,Beginner
id_sources,Very important,Proficient
id_sources,Moderately important,Beginner
id_sources,Very important,Proficient
id_sources,Moderately important,Proficient
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,NA,NA
id_sources,Moderately important,Beginner
id_sources,Somewhat important,NA
id_sources,Not Important,NA
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Somewhat important,NA
id_sources,Somewhat important,NA
id_sources,Moderately important,Proficient
id_sources,Very important,Proficient
id_sources,Moderately important,Proficient
id_sources,Moderately important,Proficient
id_sources,Very important,Beginner
id_sources,Somewhat important,NA
id_sources,Not Important,NA
id_sources,Very important,Beginner
id_sources,Very important,Beginner
id_sources,Very important,Proficient
id_sources,Moderately important,Beginner
id_sources,Very important,Proficient
id_sources,Moderately important,Proficient
id_sources,Very important,Expert
id_sources,Somewhat important,NA
id_sources,Very important,Expert
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Somewhat important,NA
id_sources,Not Important,NA
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Very important,Beginner
id_sources,Somewhat important,NA
id_sources,Not Important,NA
id_sources,Somewhat important,NA
id_sources,Moderately important,Proficient
id_sources,Very important,Proficient
id_sources,Moderately important,Proficient
id_sources,Very important,Proficient
id_sources,NA,NA
id_sources,Moderately important,Proficient
id_sources,Moderately important,Beginner
id_sources,Not Important,NA
id_sources,Somewhat important,NA
id_sources,Somewhat important,NA
id_sources,Very important,Expert
id_sources,Very important,Beginner
id_sources,Very important,Proficient
id_sources,Moderately important,Proficient
id_sources,Somewhat important,NA
id_sources,Very important,Proficient
id_sources,Moderately important,Proficient
id_sources,Very important,Expert
id_sources,Very important,Proficient
id_sources,Moderately important,Proficient
id_sources,NA,NA
id_sources,Somewhat important,NA
id_sources,Moderately important,Proficient
id_sources,Moderately important,Proficient
id_sources,Moderately important,Proficient
id_sources,Very important,Expert
id_sources,Moderately important,Proficient
id_sources,Very important,Beginner
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Moderately important,Proficient
id_sources,Very important,Beginner
id_sources,Very important,Proficient
id_sources,Very important,Expert
id_sources,Very important,Beginner
id_sources,Very important,Beginner
id_sources,Very important,Expert
id_sources,Somewhat important,NA
id_sources,Not Important,NA
id_sources,Somewhat important,NA
id_sources,Moderately important,Proficient
id_sources,Very important,Proficient
id_sources,Moderately important,Unable to perform
id_sources,Somewhat important,NA
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Very important,Proficient
id_sources,Moderately important,Proficient
