"","lhj_code","region","size","agency","supervisor_status","current_yrs","agency_yrs","ph_practice_yrs","ph_mangmt_yrs","f_love_job","f_treated_fairly","f_work_life_balance","f_paid_fairly","f_happy_input","f_manage_demands","f_psych_safe","f_voice_concerns","s_job","s_org","s_work_unit","s_supervisor","s_pay","s_benefits","s_treated_fair_age","s_treated_fair_race","s_treated_fair_gender","s_treated_fair_sex_orient","s_treated_fair_diability","s_sup_interpersonal_skills","s_belonging_work_unit","s_belonging_agency","comments","mental_emotional_health","s_comfort_using_PTO","s_able_complete_40hr","have_to_do_more","s_agency_mh_policy_support","burnout","well_participate","well_org","well_org_other","well_interest","well_interest_type","well_interest_type_other","considering_leaving","leaving_plans","leaving_plans_other","leaving_org_reasons","leaving_orgs_reasons_other","why_staying","why_staying_other","Retirement_year","gender","gender_other","race","Race_other","age","Degrees","assoc_degree_other","bach_degree_other","master_degree_other","publichealth_phd_other","phd_other","degree_pursuing","pursuing_degree_asso_other","pursuing_degree_bach_other","pursuing_degree_master_other","pursuing_degree_phPhd_other","pursuing_degree_phd_other","degree_concentration_other","primary_concentration_degree","primary_concentration_degree_other","current_credentials","current_credentials_list","credentials_interest","credentials_interest_list","credentials_interest_list_other","highest_degree","sup_status","sup_status_recat","retire_recat","leave_or_retire","burnout_recat","s_job_recat","s_org_recat","s_work_unit_recat","s_supervisor_recat","s_pay_recat","s_benefits_recat","s_treated_fair_age_recat","s_treated_fair_race_recat","s_treated_fair_gender_recat","s_treated_fair_sex_orient_recat","s_treated_fair_diability_recat","s_sup_interpersonal_skills_recat","s_belonging_work_unit_recat","s_belonging_agency_recat","s_comfort_using_PTO_recat","s_able_complete_40hr_recat","s_agency_mh_policy_support_recat","f_love_job_recat","f_treated_fairly_recat","f_work_life_balance_recat","f_paid_fairly_recat","f_happy_input_recat","f_manage_demands_recat","f_psych_safe_recat","f_voice_concerns_recat","region_color_cat","degree_recat","age_group","age_group_lg","max_yrs","max_yrs_cat","satisfied_job","leave_retire2"
"1","QGZ","Region 1","Small","County Health Department","Supervisor and/or Manager: you are in a managerial position and are responsible for employeeÃ¢â‚¬â„¢s performance appraisals and approval of their leave, and may supervise one or more supervisors",4,12,12,4,"Almost Always","Always","Always","Almost Always","Always","Always","Always","Always","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Great staff to work with.","Excellent","Strongly Agree","Strongly Agree","Agree","Strongly Agree","I have no symptoms of burnout","Yes","Insurance provider,Workplace,Montana Public Health Training Center - Wellness Program",NA,"Yes","Wellness coaching,Virtual training",NA,"No",NA,NA,NA,NA,"acknowledgement / recognition for your work,benefits,flexible work schedule,job satisfaction,job stability,satisfaction with your agency's leadership,satisfaction with your supervisor,support from coworkers,training opportunities",NA,"2027","Woman",NA,"White",NA,63,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Not formally certified",NA,"No",NA,NA,"Bachelors","Supervisor","Supervisor/Executive","before 2030","retiring","None","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Region 1 and 2","Bachelors or higher","55-64","55+",12,"10+","satisfied with job","leaving OR retiring"
"2","QGZ","Region 1","Small","County Health Department","Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",1,12,1,NA,"Always","Always","Almost Always","Usually","Almost Always","Almost Always","Always","Always","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","This has been the best job for me and my mental health. The environment is non-toxic and a safe place to work. Everyone gets along and has your back","Good","Strongly Agree","Strongly Agree","Agree","Strongly Agree","I have one or more symptoms of burnout that come and go away","Yes","Workplace",NA,"Yes","Wellness coaching,Sound therapy,Art therapy,Wellness Champions Program,Virtual training,Guided meditation",NA,"No",NA,NA,NA,NA,"acknowledgement / recognition for your work,benefits,job satisfaction,job stability,lack of stress,pride in the organization and its mission,satisfaction with your supervisor,support from coworkers",NA,"I am not planning to retire before 2030","Woman",NA,"White",NA,48,"Other associate degree (please specify)","General Studies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Not formally certified",NA,"Yes","Certified in Public Health (CPH)",NA,"Associates","Non-supervisor","Non-supervisor","after 2030","not leaving or retiring","Some","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Region 1 and 2","less than Bachelors","45-54","35-54",12,"10+","satisfied with job","staying"
"3","PQS","Region 4","Large","County Health Department","Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",0,0,0,NA,"Almost Always","Always","Always","Always","Always","Always","Always","Always","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",NA,"Excellent","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","I have no symptoms of burnout","Yes","Workplace",NA,"Yes","Wellness coaching",NA,"No",NA,NA,NA,NA,"exciting and challenging work,flexible work schedule,job satisfaction,organizational climate / culture,satisfaction with your supervisor,support from coworkers,training opportunities",NA,"I am not planning to retire before 2030","Man",NA,"White",NA,59,"High school or equivalent,BS/BA,MEd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Other Certification (please specify)","Registered Sanitarian; Lead Inspector; Lead Assessor","Yes","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS),Other Certification (please specify)","Lead Inspector; Lead Assessor","Masters or higher","Non-supervisor","Non-supervisor","after 2030","not leaving or retiring","None","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Region 4 and 5","Bachelors or higher","55-64","55+",0,"0-4","satisfied with job","staying"
"4","SMA","Region 1","Medium","County Health Department","Supervisor and/or Manager: you are in a managerial position and are responsible for employeeÃ¢â‚¬â„¢s performance appraisals and approval of their leave, and may supervise one or more supervisors",5,10,10,8,"Almost Always","Almost Always","Almost Always","Usually","Usually","Usually","Almost Always","Usually","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",NA,"Good","Strongly Agree","Strongly Agree","Strongly Agree","Agree","I have one or more symptoms of burnout that won't go away","No",NA,NA,"Yes","Wellness coaching,Sound therapy,Wellness Champions Program,Virtual training",NA,"Yes","Take a non-governmental job not in public health",NA,"job instability, layoffs),pay,stress",NA,NA,NA,"I am not planning to retire before 2030","Woman",NA,"White",NA,35,"BS/BA,BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Community / Population Health",NA,"Nurse certification (RN, LPN, NP, BSN)",NA,"Yes","Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH),Physical Activity in Public Health Specialist (PAPHS)",NA,"Bachelors","Supervisor","Supervisor/Executive","after 2030","leaving not retiring","Chronic or Complete","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Region 1 and 2","Bachelors or higher","35-44","35-54",10,"10+","satisfied with job","leaving OR retiring"
"5","PQS","Region 4","Large","County Health Department","Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",1,1,5,NA,"Almost Always","Always","Usually","Usually","Always","Usually","Always","Always","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",NA,"Fair","Strongly Agree","Agree","Disagree","Strongly Agree","I have no symptoms of burnout","Yes","Workplace",NA,"Yes","Sound therapy,In-person training,Guided meditation",NA,"No",NA,NA,NA,NA,"acknowledgement / recognition for your work,benefits,exciting and challenging work,flexible work schedule,job satisfaction,job stability,lack of stress,mentorship opportunities,opportunities for advancement,pride in the organization and its mission,satisfaction with your agency's leadership,satisfaction with your supervisor,support from coworkers,training opportunities",NA,"I am not planning to retire before 2030","Woman",NA,"White",NA,52,"BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other Certification (please specify)","Certified Pediatric Nurse","Yes","Certified in Public Health (CPH)",NA,"Bachelors","Non-supervisor","Non-supervisor","after 2030","not leaving or retiring","None","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Region 4 and 5","Bachelors or higher","45-54","35-54",5,"5-9","satisfied with job","staying"
"6","PQS","Region 4","Large","County Health Department","Supervisor and/or Manager: you are in a managerial position and are responsible for employeeÃ¢â‚¬â„¢s performance appraisals and approval of their leave, and may supervise one or more supervisors",4,4,9,4,"Usually","Almost Always","Usually","Usually","Usually","Sometimes","Almost Always","Almost Always","Agree","Agree","Agree","Agree","Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree",NA,"Good","Agree","Disagree","Agree","Disagree","I have one or more symptoms of burnout that come and go away","Yes","Workplace,Montana Public Health Training Center - Wellness Program",NA,"Yes","Wellness coaching,Wellness Champions Program,Virtual training",NA,"No",NA,NA,NA,NA,"benefits,flexible work schedule,job stability",NA,"2026","Woman",NA,"White",NA,62,"BS/BA,MA/MS,PhD/ScD/other non-public health doctorate (please specify)",NA,NA,NA,NA,"Microbiology",NA,NA,NA,NA,NA,NA,"No",NA,NA,"Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)",NA,"Yes","Certified Professional - Food Safety (CP-FS) and/or Certified Foodborne Outbreak Investigator",NA,"Masters or higher","Supervisor","Supervisor/Executive","before 2030","retiring","Some","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Sometimes","Usually/Always","Usually/Always","Region 4 and 5","Bachelors or higher","55-64","55+",9,"5-9","satisfied with job","leaving OR retiring"
"7","PQS","Region 4","Large","County Health Department","Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",1,1,1,NA,"Almost Always","Always","Always","Sometimes","Almost Always","Almost Always","Always","Always","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree",NA,"Good","Agree","Strongly Agree","Disagree","Agree","I have one or more symptoms of burnout that come and go away","Yes","Workplace",NA,"No",NA,NA,"No",NA,NA,NA,NA,"benefits,exciting and challenging work,job satisfaction,job stability,organizational climate / culture,pay,pride in the organization and its mission,satisfaction with your agency's leadership,satisfaction with your supervisor,support from coworkers,unsatisfactory opportunities outside of the agency",NA,"I am not planning to retire before 2030","Man",NA,"White",NA,31,"High school or equivalent,BS/BA,MPH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Other (please specify)","Generalist - no concentration","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)",NA,"No",NA,NA,"Masters or higher","Non-supervisor","Non-supervisor","after 2030","not leaving or retiring","Some","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Usually/Always","Usually/Always","Usually/Always","Sometimes","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Region 4 and 5","Bachelors or higher","18-34","18-34",1,"0-4","satisfied with job","staying"
"8","PQS","Region 4","Large","County Health Department","Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",0,0,0,NA,"Usually","Always","Always","Usually","Usually","Almost Always","Always","Almost Always","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree",NA,"Very Good","Agree","Agree","Disagree","Agree","I have no symptoms of burnout","No",NA,NA,"Yes","Sound therapy,Art therapy,Guided meditation",NA,"No",NA,NA,NA,NA,"acknowledgement / recognition for your work,benefits,job satisfaction,job stability,lack of stress,organizational climate / culture,pride in the organization and its mission,support from coworkers",NA,"I am not planning to retire before 2030","Woman",NA,"White",NA,26,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Not formally certified",NA,"Yes","Other Certification (please specify)","Billing/Coding","Bachelors","Non-supervisor","Non-supervisor","after 2030","not leaving or retiring","None","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Region 4 and 5","Bachelors or higher","18-34","18-34",0,"0-4","satisfied with job","staying"
"9","PQS","Region 4","Large","County Health Department","Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",6,6,6,NA,"Usually","Almost Always","Almost Always","Almost Always","Almost Always","Almost Always","Almost Always","Almost Always","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",NA,"Good","Agree","Agree","Disagree","Agree","I have one or more symptoms of burnout that come and go away","Yes","Workplace",NA,"Yes","Wellness coaching,Sound therapy,Guided meditation",NA,"No",NA,NA,NA,NA,"benefits,flexible work schedule,job satisfaction,pride in the organization and its mission,remote work policies,satisfaction with your supervisor,support from coworkers,training opportunities",NA,"I am not planning to retire before 2030","Woman",NA,"White",NA,38,"BS/BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Certified Community Health Worker",NA,"No",NA,NA,"Bachelors","Non-supervisor","Non-supervisor","after 2030","not leaving or retiring","Some","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Usually/Always","Region 4 and 5","Bachelors or higher","35-44","35-54",6,"5-9","satisfied with job","staying"
"10","PQS","Region 4","Large","County Health Department","Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",1,2,2,NA,"Usually","Rarely","Usually","Never","Rarely","Usually","Sometimes","Rarely","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","A supervisor was recently put in place for my division; I feel as though they are more concerned with how they look instead of helping their ""team""","Good","Agree","Agree","Agree","Disagree","I have one or more symptoms of burnout that won't go away","No",NA,NA,"Yes","Wellness coaching,Sound therapy,In-person training,Guided meditation",NA,"No",NA,NA,NA,NA,"benefits,job stability,support from coworkers",NA,"2028","Woman",NA,"White",NA,62,"High school or equivalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not formally certified",NA,"Yes","Certified Community Health Worker,Certified in Public Health (CPH)",NA,"High school or equivalent","Non-supervisor","Non-supervisor","before 2030","retiring","Chronic or Complete","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Usually/Always","Rarely/Never","Usually/Always","Rarely/Never","Rarely/Never","Usually/Always","Sometimes","Rarely/Never","Region 4 and 5","less than Bachelors","55-64","55+",2,"0-4","satisfied with job","leaving OR retiring"
