lhj_code,region,size,agency,supervisor_status,current_yrs,agency_yrs,ph_practice_yrs,ph_mangmt_yrs,f_love_job,f_treated_fairly,f_work_life_balance,f_paid_fairly,f_happy_input,f_manage_demands,f_psych_safe,f_voice_concerns,s_job,s_org,s_work_unit,s_supervisor,s_pay,s_benefits,s_treated_fair_age,s_treated_fair_race,s_treated_fair_gender,s_treated_fair_sex_orient,s_treated_fair_diability,s_sup_interpersonal_skills,s_belonging_work_unit,s_belonging_agency,comments,mental_emotional_health,s_comfort_using_PTO,s_able_complete_40hr,have_to_do_more,s_agency_mh_policy_support,burnout,considering_leaving,leaving_plans,leaving_plans_other,leaving_org_reasons,leaving_orgs_reasons_other,why_staying,why_staying_other,Retirement_year,gender,gender_other,race,Race_other,age,Degrees,assoc_degree_other,bach_degree_other,master_degree_other,publichealth_phd_other,phd_other,degree_pursuing,pursuing_degree_asso_other,pursuing_degree_bach_other,pursuing_degree_master_other,pursuing_degree_phPhd_other,pursuing_degree_phd_other,degree_concentration_other,primary_concentration_degree,primary_concentration_degree_other,current_credentials,current_credentials_list,credentials_interest,credentials_interest_list,credentials_interest_list_other
QGZ,Region 1,Small,County Health Department,"Supervisor and/or Manager: you are in a managerial position and are responsible for employeeÃ¢â‚¬â„¢s performance appraisals and approval of their leave, and may supervise one or more supervisors",4,12,12,4,Almost Always,Always,Always,Almost Always,Always,Always,Always,Always,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Great staff to work with.,Excellent,Strongly Agree,Strongly Agree,Agree,Strongly Agree,I have no symptoms of burnout,No,NA,NA,NA,NA,"Acknowledgement / recognition for your work,Benefits (e.g., retirement contributions / pensions, health insurance),Flexible work schedule (e.g., flex hours),Job satisfaction,Job stability,Satisfaction with your agency's leadership (e.g., Health Commissioner, Senior Deputy, etc.),Satisfaction with your supervisor,Support from coworkers,Training opportunities",NA,2027,Woman,NA,White,NA,63,BS/BA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Not formally certified,NA,No,NA,NA
QGZ,Region 1,Small,County Health Department,"Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",1,12,1,NA,Always,Always,Almost Always,Usually,Almost Always,Almost Always,Always,Always,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,This has been the best job for me and my mental health. The environment is non-toxic and a safe place to work. Everyone gets along and has your back,Good,Strongly Agree,Strongly Agree,Agree,Strongly Agree,I have one or more symptoms of burnout that come and go away,No,NA,NA,NA,NA,"Acknowledgement / recognition for your work,Benefits (e.g., retirement contributions / pensions, health insurance),Job satisfaction,Job stability,Lack of stress,Pride in the organization and its mission,Satisfaction with your supervisor,Support from coworkers",NA,I am not planning to retire before 2030,Woman,NA,White,NA,48,Other associate degree (please specify),General Studies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Not formally certified,NA,Yes,Certified in Public Health (CPH),NA
PQS,Region 4,Large,County Health Department,"Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",0,0,0,NA,Almost Always,Always,Always,Always,Always,Always,Always,Always,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,Excellent,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,I have no symptoms of burnout,No,NA,NA,NA,NA,"Exciting and challenging work,Flexible work schedule (e.g., flex hours),Job satisfaction,Organizational climate / culture,Satisfaction with your supervisor,Support from coworkers,Training opportunities",NA,I am not planning to retire before 2030,Man,NA,White,NA,59,"High school or equivalent,BS/BA,MEd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Other Certification (please specify),Registered Sanitarian; Lead Inspector; Lead Assessor,Yes,"Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS),Other Certification (please specify)",Lead Inspector; Lead Assessor
SMA,Region 1,Medium,County Health Department,"Supervisor and/or Manager: you are in a managerial position and are responsible for employeeÃ¢â‚¬â„¢s performance appraisals and approval of their leave, and may supervise one or more supervisors",5,10,10,8,Almost Always,Almost Always,Almost Always,Usually,Usually,Usually,Almost Always,Usually,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,NA,Good,Strongly Agree,Strongly Agree,Strongly Agree,Agree,I have one or more symptoms of burnout that won't go away,Yes,Take a non-governmental job not in public health,NA,"Job instability (e.g., loss of funding, reduction in force (RIF), layoffs),Pay,Stress",NA,NA,NA,I am not planning to retire before 2030,Woman,NA,White,NA,35,"BS/BA,BSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Community / Population Health,NA,"Nurse certification (RN, LPN, NP, BSN)",NA,Yes,"Certified Health Education Specialist (CHES or Master CHES),Certified in Public Health (CPH),Physical Activity in Public Health Specialist (PAPHS)",NA
PQS,Region 4,Large,County Health Department,"Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",1,1,5,NA,Almost Always,Always,Usually,Usually,Always,Usually,Always,Always,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,Fair,Strongly Agree,Agree,Disagree,Strongly Agree,I have no symptoms of burnout,No,NA,NA,NA,NA,"Acknowledgement / recognition for your work,Benefits (e.g., retirement contributions / pensions, health insurance),Exciting and challenging work,Flexible work schedule (e.g., flex hours),Job satisfaction,Job stability,Lack of stress,Mentorship opportunities,Opportunities for advancement,Pride in the organization and its mission,Satisfaction with your agency's leadership (e.g., Health Commissioner, Senior Deputy, etc.),Satisfaction with your supervisor,Support from coworkers,Training opportunities",NA,I am not planning to retire before 2030,Woman,NA,White,NA,52,BSN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other Certification (please specify),Certified Pediatric Nurse,Yes,Certified in Public Health (CPH),NA
PQS,Region 4,Large,County Health Department,"Supervisor and/or Manager: you are in a managerial position and are responsible for employeeÃ¢â‚¬â„¢s performance appraisals and approval of their leave, and may supervise one or more supervisors",4,4,9,4,Usually,Almost Always,Usually,Usually,Usually,Sometimes,Almost Always,Almost Always,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,NA,Good,Agree,Disagree,Agree,Disagree,I have one or more symptoms of burnout that come and go away,No,NA,NA,NA,NA,"Benefits (e.g., retirement contributions / pensions, health insurance),Flexible work schedule (e.g., flex hours),Job stability",NA,2026,Woman,NA,White,NA,62,"BS/BA,MA/MS,PhD/ScD/other non-public health doctorate (please specify)",NA,NA,NA,NA,Microbiology,NA,NA,NA,NA,NA,NA,No,NA,NA,Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS),NA,Yes,Certified Professional - Food Safety (CP-FS) and/or Certified Foodborne Outbreak Investigator,NA
PQS,Region 4,Large,County Health Department,"Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",1,1,1,NA,Almost Always,Always,Always,Sometimes,Almost Always,Almost Always,Always,Always,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,NA,Good,Agree,Strongly Agree,Disagree,Agree,I have one or more symptoms of burnout that come and go away,No,NA,NA,NA,NA,"Benefits (e.g., retirement contributions / pensions, health insurance),Exciting and challenging work,Job satisfaction,Job stability,Organizational climate / culture,Pay,Pride in the organization and its mission,Satisfaction with your agency's leadership (e.g., Health Commissioner, Senior Deputy, etc.),Satisfaction with your supervisor,Support from coworkers,Unsatisfactory opportunities outside of the agency",NA,I am not planning to retire before 2030,Man,NA,White,NA,31,"High school or equivalent,BS/BA,MPH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Other (please specify),Generalist - no concentration,Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS),NA,No,NA,NA
PQS,Region 4,Large,County Health Department,"Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",0,0,0,NA,Usually,Always,Always,Usually,Usually,Almost Always,Always,Almost Always,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,NA,Very Good,Agree,Agree,Disagree,Agree,I have no symptoms of burnout,No,NA,NA,NA,NA,"Acknowledgement / recognition for your work,Benefits (e.g., retirement contributions / pensions, health insurance),Job satisfaction,Job stability,Lack of stress,Organizational climate / culture,Pride in the organization and its mission,Support from coworkers",NA,I am not planning to retire before 2030,Woman,NA,White,NA,26,BS/BA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Not formally certified,NA,Yes,Other Certification (please specify),Billing/Coding
PQS,Region 4,Large,County Health Department,"Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",6,6,6,NA,Usually,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,NA,Good,Agree,Agree,Disagree,Agree,I have one or more symptoms of burnout that come and go away,No,NA,NA,NA,NA,"Benefits (e.g., retirement contributions / pensions, health insurance),Flexible work schedule (e.g., flex hours),Job satisfaction,Pride in the organization and its mission,Remote work policies,Satisfaction with your supervisor,Support from coworkers,Training opportunities",NA,I am not planning to retire before 2030,Woman,NA,White,NA,38,BS/BA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,"Breastfeeding/Lactation Certification (CLC, CLE, CLS, or IBCLC),Certified Community Health Worker",NA,No,NA,NA
PQS,Region 4,Large,County Health Department,"Non-supervisor: you do not supervise other employees (e.g. frontline, program support)",1,2,2,NA,Usually,Rarely,Usually,Never,Rarely,Usually,Sometimes,Rarely,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,"A supervisor was recently put in place for my division; I feel as though they are more concerned with how they look instead of helping their ""team""",Good,Agree,Agree,Agree,Disagree,I have one or more symptoms of burnout that won't go away,No,NA,NA,NA,NA,"Benefits (e.g., retirement contributions / pensions, health insurance),Job stability,Support from coworkers",NA,2028,Woman,NA,White,NA,62,High school or equivalent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not formally certified,NA,Yes,"Certified Community Health Worker,Certified in Public Health (CPH)",NA
