"column","response","n","prop","pref_label"
"current_credentials","Nurse certification (RN/LPN/NP/BSN)",105,0.384615384615385,"38% (105)"
"current_credentials","Other Certification",80,0.293040293040293,"29% (80)"
"current_credentials","Breastfeeding/Lactation Certification (CLC/CLE/CLS/IBCLC)",51,0.186813186813187,"19% (51)"
"current_credentials","Registered Environmental Health Specialist / Registered Sanitarian (REHS / RS)",42,0.153846153846154,"15% (42)"
"current_credentials","Certified in Public Health (CPH)",20,0.0732600732600733,"7% (20)"
"current_credentials","Certified Community Health Worker",19,0.0695970695970696,"7% (19)"
"current_credentials","Registered Dietitian (RD)",8,0.0293040293040293,"3% (8)"
"current_credentials","Certified Health Education Specialist (CHES or Master CHES)",7,0.0256410256410256,"3% (7)"
"current_credentials","Infection Control Certification (CIC)",4,0.0146520146520147,"1% (4)"
"current_credentials","Not formally certified",4,0.0146520146520147,"1% (4)"
"current_credentials","Certified Professional - Food Safety (CPFS) and/or Certified Foodborne Outbreak Investigator",3,0.010989010989011,"1% (3)"
"current_credentials","Laboratory Certification",3,0.010989010989011,"1% (3)"
"current_credentials","Physical Activity in Public Health Specialist (PAPHS)",2,0.00732600732600733,"1% (2)"
"current_credentials","Dental Public Health - Board Certification (DPH)",1,0.00366300366300366,"0% (1)"
"current_credentials","Licensed Clinical Social Worker (LCSW)",1,0.00366300366300366,"0% (1)"
"current_credentials","Physician Board Certification (MD/DO)",1,0.00366300366300366,"0% (1)"
