"grouping","group_col","question","prop_agree","n","n_agree","sd_agree","se","ci_lower","ci_upper","cat_group"
"jd_size","Frontier","f_love_job_recat",81.4814814814815,27,22,0.39584739066357,7.6180865852541,66.5500317743835,96.4129311885795,"job"
"jd_size","Large","f_love_job_recat",79.3388429752066,242,192,0.40571345634851,2.60802487456967,74.2271142210501,84.4505717293632,"job"
"jd_size","Medium","f_love_job_recat",88,75,66,0.327149854083762,3.77760112641214,80.5959017922322,95.4040982077678,"job"
"jd_size","Small","f_love_job_recat",91.3461538461538,104,95,0.282519074811882,2.77032745274609,85.9163120387715,96.7759956535362,"job"
"position_type","Executive","f_love_job_recat",82.6086956521739,23,19,0.38755338788159,8.08104675899639,66.769844004541,98.4475472998068,"job"
"position_type","Non-supervisor","f_love_job_recat",84.4036697247707,327,276,0.363376596379597,2.00947716963975,80.4650944722767,88.3422449772646,"job"
"position_type","Supervisor","f_love_job_recat",81.6326530612245,98,80,0.389208522159857,3.93159979021185,73.9267174724093,89.3385886500397,"job"
"agency_type","County Health Department","f_love_job_recat",83.6104513064133,421,352,0.370621136939396,1.80629689787805,80.0701093865723,87.1507932262543,"job"
"agency_type","Tribal Health Department","f_love_job_recat",85.1851851851852,27,23,0.362013992898246,6.96696254167378,71.5299386035046,98.8404317668658,"job"
"leave_retire","leaving not retiring","f_love_job_recat",60.8108108108108,74,45,0.49150502910142,5.71362990637523,49.6120961943154,72.0095254273063,"job"
"leave_retire","not leaving or retiring","f_love_job_recat",87.9746835443038,316,278,0.325773218163331,1.83261753100649,84.3827531835311,91.5666139050765,"job"
"job_satisfied","not satisfied with job","f_love_job_recat",22.8571428571429,35,8,0.426042961498036,7.20144043214405,8.74231961014052,36.9719661041452,"job"
"job_satisfied","satisfied with job","f_love_job_recat",88.861985472155,413,367,0.314983869664023,1.54993429641672,85.8241142511782,91.8998566931317,"job"
"statewide","statewide_results","f_love_job_recat",83.7053571428571,448,375,0.36972966336138,1.74680846710329,80.2816125473347,87.1291017383796,"job"
"jd_size","Frontier","s_job_recat",96.2962962962963,27,26,0.192450089729875,3.7037037037037,89.037037037037,100,"job"
"jd_size","Large","s_job_recat",88.4297520661157,242,214,0.320530748769428,2.06044969121513,84.3912706713341,92.4682334608974,"job"
"jd_size","Medium","s_job_recat",94.6666666666667,75,71,0.226210457696304,2.61205337288939,89.5470420558035,99.7862912775299,"job"
"jd_size","Small","s_job_recat",98.0769230769231,104,102,0.138000227294679,1.35320356126117,95.4246440968512,100,"job"
"position_type","Executive","s_job_recat",95.6521739130435,23,22,0.208514414057075,4.34782608695652,87.1304347826087,100,"job"
"position_type","Non-supervisor","s_job_recat",92.9663608562691,327,304,0.256104985883329,1.41626380810131,90.1904837923906,95.7422379201477,"job"
