"column","response","n","prop","pref_label"
"pref_train_recat","Confluence",213,0.475446428571429,"48% (213)"
"pref_train_recat","Other (please specify)",125,0.279017857142857,"28% (125)"
"pref_train_recat","Summer Institute",94,0.209821428571429,"21% (94)"
"pref_train_recat","Virtual MT PHTC Trainings",66,0.147321428571429,"15% (66)"
"pref_train_recat","Montana Public Health 101",61,0.136160714285714,"14% (61)"
"pref_train_recat","APHA Annual Meeting",20,0.0446428571428571,"4% (20)"
"pref_train_recat","UM Public Health Certificate Program",13,0.0290178571428571,"3% (13)"
"pref_train_recat","Rocky Mountain Tribal Leader Public Health Conference",11,0.0245535714285714,"2% (11)"
"pref_train_recat","2023 AMPHO Mentorship Program",9,0.0200892857142857,"2% (9)"
"pref_train_recat","NEHA Annual Educational Conference",9,0.0200892857142857,"2% (9)"
"pref_train_recat","2023 NACCHO 360 Annual Conference",5,0.0111607142857143,"1% (5)"
"pref_train_recat","2024 MEHA RS/SIT Mentorship Program",5,0.0111607142857143,"1% (5)"
"pref_train_recat","2024 NALBOH Annual Conference",5,0.0111607142857143,"1% (5)"
"pref_train_recat","2024 MPHA Public Health Nurse Mentorship Program",4,0.00892857142857143,"1% (4)"
"pref_train_recat","2024 ToP Facilitation Methods",4,0.00892857142857143,"1% (4)"
"pref_train_recat","2025 NEHA Annual Educational Conference",3,0.00669642857142857,"1% (3)"
"pref_train_recat","2024 Indigenous-Led Public Health Summit (Pablo)",2,0.00446428571428571,"0% (2)"
"pref_train_recat","New to Public Health Residency Program",2,0.00446428571428571,"0% (2)"
"pref_train_recat","NWCPHP Public Health Management Certificate",2,0.00446428571428571,"0% (2)"
