"column","response","n","prop","pref_label"
"pref_barriers","Costs",188,0.419642857142857,"42% (188)"
"pref_barriers","Location",172,0.383928571428571,"38% (172)"
"pref_barriers","Unaware of training events",166,0.370535714285714,"37% (166)"
"pref_barriers","Logistics of travel",158,0.352678571428571,"35% (158)"
"pref_barriers","Family Responsibilities",135,0.301339285714286,"30% (135)"
"pref_barriers","Time of the year",116,0.258928571428571,"26% (116)"
"pref_barriers","Can't leave department / no back up",78,0.174107142857143,"17% (78)"
"pref_barriers","Other (please specify)",70,0.15625,"16% (70)"
"pref_barriers","Topics that do not interest me",59,0.131696428571429,"13% (59)"
"pref_barriers","Not allowed work time to participate",25,0.0558035714285714,"6% (25)"
"pref_barriers","Technology",1,0.00223214285714286,"0% (1)"
