topic,engage_imp,engage_skill
value_CHA,NA,NA
value_CHA,Very important,Beginner
value_CHA,Very important,Proficient
value_CHA,NA,NA
value_CHA,Somewhat important,NA
value_CHA,NA,NA
value_CHA,Somewhat important,NA
value_CHA,Moderately important,Beginner
value_CHA,Very important,Proficient
value_CHA,Moderately important,Beginner
value_CHA,Moderately important,Beginner
value_CHA,Not Important,NA
value_CHA,Moderately important,Proficient
value_CHA,NA,NA
value_CHA,Somewhat important,NA
value_CHA,Moderately important,Beginner
value_CHA,Very important,Proficient
value_CHA,NA,NA
value_CHA,Moderately important,Proficient
value_CHA,Very important,Proficient
value_CHA,Not Important,NA
value_CHA,Very important,Proficient
value_CHA,NA,NA
value_CHA,Somewhat important,NA
value_CHA,NA,NA
value_CHA,NA,NA
value_CHA,NA,NA
value_CHA,Somewhat important,NA
value_CHA,NA,NA
value_CHA,NA,NA
value_CHA,Very important,Beginner
value_CHA,Very important,Beginner
value_CHA,Moderately important,Proficient
value_CHA,NA,NA
value_CHA,Somewhat important,NA
value_CHA,Moderately important,Beginner
value_CHA,Moderately important,Beginner
value_CHA,NA,NA
value_CHA,Not Important,NA
value_CHA,Very important,Beginner
value_CHA,Very important,Proficient
value_CHA,NA,NA
value_CHA,Very important,Beginner
value_CHA,Moderately important,Proficient
value_CHA,Moderately important,Beginner
value_CHA,Somewhat important,NA
value_CHA,NA,NA
value_CHA,NA,NA
value_CHA,Very important,Proficient
value_CHA,Very important,Beginner
value_CHA,Somewhat important,NA
value_CHA,NA,NA
value_CHA,Very important,Proficient
value_CHA,NA,NA
value_CHA,Very important,Proficient
value_CHA,Somewhat important,NA
value_CHA,Somewhat important,NA
value_CHA,Very important,Proficient
value_CHA,Very important,Proficient
value_CHA,Moderately important,Beginner
value_CHA,Moderately important,Beginner
value_CHA,Moderately important,Proficient
value_CHA,Somewhat important,NA
value_CHA,Not Important,NA
value_CHA,Very important,Proficient
value_CHA,NA,NA
value_CHA,NA,NA
value_CHA,Very important,Beginner
value_CHA,Somewhat important,NA
value_CHA,Very important,Proficient
value_CHA,Moderately important,Proficient
value_CHA,Very important,Proficient
value_CHA,NA,NA
value_CHA,NA,NA
value_CHA,Somewhat important,NA
value_CHA,Moderately important,Beginner
value_CHA,NA,NA
value_CHA,Somewhat important,NA
value_CHA,Moderately important,Proficient
value_CHA,Moderately important,Proficient
value_CHA,NA,NA
value_CHA,Somewhat important,NA
value_CHA,Moderately important,Proficient
value_CHA,NA,NA
value_CHA,NA,NA
value_CHA,Moderately important,Beginner
value_CHA,NA,NA
value_CHA,Moderately important,Proficient
value_CHA,Somewhat important,NA
value_CHA,Very important,Proficient
value_CHA,Moderately important,Proficient
value_CHA,Somewhat important,NA
value_CHA,Very important,Beginner
value_CHA,Somewhat important,NA
value_CHA,Moderately important,Proficient
value_CHA,NA,NA
value_CHA,Very important,Beginner
value_CHA,Somewhat important,NA
value_CHA,Moderately important,Proficient
value_CHA,Very important,Proficient
value_CHA,Somewhat important,NA
value_CHA,Moderately important,Beginner
value_CHA,Moderately important,Proficient
value_CHA,Very important,Proficient
value_CHA,NA,NA
value_CHA,Moderately important,Beginner
value_CHA,Somewhat important,NA
value_CHA,NA,NA
value_CHA,NA,NA
value_CHA,NA,NA
value_CHA,Moderately important,Proficient
value_CHA,Moderately important,Beginner
value_CHA,NA,NA
value_CHA,Very important,Proficient
value_CHA,NA,NA
value_CHA,Very important,Proficient
value_CHA,Very important,Proficient
value_CHA,Very important,Expert
value_CHA,Moderately important,Proficient
value_CHA,Moderately important,Proficient
value_CHA,Very important,Proficient
value_CHA,NA,NA
value_CHA,Moderately important,Proficient
value_CHA,Moderately important,Proficient
value_CHA,NA,NA
value_CHA,NA,NA
value_CHA,Very important,Proficient
value_CHA,Somewhat important,NA
value_CHA,Moderately important,Expert
value_CHA,Very important,Proficient
value_CHA,Moderately important,Proficient
value_CHA,NA,NA
value_CHA,NA,NA
value_CHA,Somewhat important,NA
value_CHA,Very important,Beginner
value_CHA,NA,NA
value_CHA,NA,NA
value_CHA,Moderately important,Proficient
value_CHA,Moderately important,Proficient
value_CHA,NA,NA
value_CHA,Moderately important,Beginner
value_CHA,Moderately important,Proficient
value_CHA,NA,NA
value_CHA,Very important,Proficient
value_CHA,NA,NA
value_CHA,Somewhat important,NA
value_CHA,Moderately important,Proficient
value_CHA,NA,NA
value_CHA,Somewhat important,NA
value_CHA,Very important,Proficient
value_CHA,Moderately important,Proficient
value_CHA,Moderately important,Beginner
value_CHA,Moderately important,Proficient
value_CHA,NA,NA
value_CHA,NA,NA
value_CHA,NA,NA
value_CHA,Not Important,NA
value_CHA,NA,NA
value_CHA,Not Important,NA
value_CHA,Very important,Proficient
value_CHA,Very important,Beginner
value_CHA,NA,NA
value_CHA,NA,NA
value_CHA,Moderately important,Proficient
value_CHA,Very important,Proficient
value_CHA,NA,NA
value_CHA,Moderately important,Proficient
value_CHA,NA,NA
value_CHA,Moderately important,Beginner
value_CHA,NA,NA
value_CHA,Very important,Proficient
value_CHA,NA,NA
value_CHA,Moderately important,Proficient
value_CHA,Very important,Proficient
value_CHA,Somewhat important,NA
value_CHA,NA,NA
value_CHA,Somewhat important,NA
value_CHA,Moderately important,Beginner
value_CHA,Moderately important,Beginner
value_CHA,Somewhat important,NA
value_CHA,Very important,Beginner
value_CHA,Somewhat important,NA
value_CHA,Very important,Proficient
value_CHA,Somewhat important,NA
value_CHA,Somewhat important,NA
value_CHA,Moderately important,Beginner
value_CHA,NA,NA
value_CHA,Moderately important,Proficient
value_CHA,Moderately important,Beginner
value_CHA,Moderately important,Beginner
value_CHA,Very important,Proficient
value_CHA,Moderately important,Beginner
value_CHA,Moderately important,Proficient
value_CHA,Moderately important,Proficient
value_CHA,Not Important,NA
value_CHA,Somewhat important,NA
value_CHA,NA,NA
value_CHA,Very important,Proficient
value_CHA,Moderately important,Proficient
value_CHA,Moderately important,Unable to perform
value_CHA,Very important,Proficient
value_CHA,Moderately important,Proficient
value_CHA,Moderately important,Proficient
value_CHA,Not Important,NA
value_CHA,Somewhat important,NA
value_CHA,Very important,Proficient
value_CHA,Moderately important,Proficient
value_CHA,NA,NA
value_CHA,Very important,Proficient
value_CHA,Very important,Expert
value_CHA,Moderately important,Proficient
value_CHA,Somewhat important,NA
value_CHA,NA,NA
value_CHA,Very important,Expert
value_CHA,Somewhat important,NA
value_CHA,Somewhat important,NA
value_CHA,Very important,Beginner
value_CHA,Very important,Unable to perform
value_CHA,NA,NA
value_CHA,NA,NA
value_CHA,Very important,Beginner
value_CHA,NA,NA
value_CHA,Very important,Beginner
value_CHA,NA,NA
value_CHA,Very important,Proficient
value_CHA,Moderately important,Beginner
value_CHA,Somewhat important,NA
value_CHA,Very important,Proficient
value_CHA,Somewhat important,NA
value_CHA,Moderately important,Proficient
value_CHA,Somewhat important,NA
value_CHA,Very important,Proficient
value_CHA,Very important,Expert
value_CHA,Very important,Beginner
value_CHA,Somewhat important,NA
value_CHA,NA,NA
value_CHA,Very important,Proficient
value_CHA,NA,NA
value_CHA,Moderately important,Proficient
value_CHA,NA,NA
value_CHA,Moderately important,Beginner
value_CHA,Somewhat important,NA
value_CHA,NA,NA
value_CHA,Very important,Beginner
value_CHA,Somewhat important,NA
value_CHA,NA,NA
value_CHA,NA,NA
value_CHA,NA,NA
value_CHA,NA,NA
value_CHA,Not Important,NA
value_CHA,Very important,Beginner
value_CHA,Not Important,NA
value_CHA,NA,NA
value_CHA,Moderately important,Proficient
value_CHA,NA,NA
value_CHA,Moderately important,Beginner
value_CHA,Moderately important,Proficient
value_CHA,NA,NA
value_CHA,Moderately important,Beginner
value_CHA,Very important,Proficient
value_CHA,NA,NA
value_CHA,Not Important,NA
value_CHA,NA,NA
value_CHA,Not Important,NA
value_CHA,Somewhat important,NA
value_CHA,NA,NA
value_CHA,NA,NA
value_CHA,Somewhat important,NA
value_CHA,Moderately important,Proficient
value_CHA,Somewhat important,NA
value_CHA,Not Important,NA
value_CHA,NA,NA
value_CHA,NA,NA
value_CHA,Moderately important,Beginner
value_CHA,NA,NA
value_CHA,Somewhat important,NA
value_CHA,Not Important,NA
value_CHA,Moderately important,Proficient
value_CHA,Somewhat important,NA
value_CHA,Very important,Proficient
value_CHA,Moderately important,Beginner
value_CHA,NA,NA
value_CHA,Not Important,NA
value_CHA,Moderately important,Beginner
value_CHA,NA,NA
value_CHA,NA,NA
value_CHA,Very important,Proficient
value_CHA,Moderately important,Beginner
value_CHA,Very important,Proficient
value_CHA,Somewhat important,NA
value_CHA,Very important,Proficient
value_CHA,Very important,Proficient
value_CHA,Moderately important,Proficient
value_CHA,Very important,Proficient
value_CHA,Moderately important,Proficient
value_CHA,NA,NA
value_CHA,Very important,Expert
value_CHA,Somewhat important,NA
value_CHA,NA,NA
value_CHA,NA,NA
value_CHA,NA,NA
value_CHA,Very important,Beginner
value_CHA,Somewhat important,NA
value_CHA,NA,NA
value_CHA,NA,NA
value_CHA,Somewhat important,NA
value_CHA,NA,NA
value_CHA,Somewhat important,NA
value_CHA,NA,NA
value_CHA,Not Important,NA
value_CHA,NA,NA
value_CHA,Moderately important,Proficient
value_CHA,Somewhat important,NA
value_CHA,Somewhat important,NA
value_CHA,Very important,Proficient
value_CHA,NA,NA
value_CHA,Moderately important,Proficient
value_CHA,Somewhat important,NA
value_CHA,Somewhat important,NA
value_CHA,Somewhat important,NA
value_CHA,Moderately important,Proficient
value_CHA,NA,NA
value_CHA,Very important,Proficient
value_CHA,NA,NA
value_CHA,Not Important,NA
value_CHA,NA,NA
value_CHA,Very important,Proficient
value_CHA,NA,NA
value_CHA,Somewhat important,NA
value_CHA,Moderately important,Proficient
value_CHA,Moderately important,Proficient
value_CHA,Moderately important,Proficient
value_CHA,Very important,Proficient
value_CHA,Somewhat important,NA
value_CHA,NA,NA
value_CHA,Moderately important,Proficient
value_CHA,NA,NA
value_CHA,Not Important,NA
value_CHA,Not Important,NA
value_CHA,Somewhat important,NA
value_CHA,Moderately important,Proficient
value_CHA,Very important,Beginner
value_CHA,Moderately important,Proficient
value_CHA,Moderately important,Proficient
value_CHA,NA,NA
value_CHA,NA,NA
value_CHA,Somewhat important,NA
value_CHA,Not Important,NA
value_CHA,Somewhat important,NA
value_CHA,Somewhat important,NA
value_CHA,Somewhat important,NA
value_CHA,NA,NA
value_CHA,NA,NA
value_CHA,Not Important,NA
value_CHA,NA,NA
value_CHA,Somewhat important,NA
value_CHA,Very important,Proficient
value_CHA,Very important,Proficient
value_CHA,Moderately important,Proficient
value_CHA,Very important,Proficient
value_CHA,NA,NA
value_CHA,Moderately important,Beginner
value_CHA,NA,NA
value_CHA,Very important,Expert
value_CHA,Very important,Beginner
value_CHA,Very important,Expert
value_CHA,Moderately important,Proficient
value_CHA,Somewhat important,NA
value_CHA,Very important,Proficient
value_CHA,NA,NA
value_CHA,Moderately important,Proficient
value_CHA,Not Important,NA
value_CHA,NA,NA
value_CHA,Somewhat important,NA
value_CHA,Very important,Proficient
value_CHA,Very important,Beginner
value_CHA,NA,NA
value_CHA,Very important,Expert
value_CHA,Somewhat important,NA
value_CHA,Moderately important,Beginner
value_CHA,Moderately important,Proficient
value_CHA,Moderately important,Proficient
value_CHA,Moderately important,Proficient
value_CHA,Not Important,NA
value_CHA,NA,NA
value_CHA,Somewhat important,NA
value_CHA,Moderately important,Proficient
value_CHA,NA,NA
value_CHA,Very important,Proficient
value_CHA,Moderately important,Proficient
value_CHA,Somewhat important,NA
value_CHA,Not Important,NA
value_CHA,Somewhat important,NA
value_CHA,Not Important,NA
value_CHA,NA,NA
value_CHA,NA,NA
value_CHA,Somewhat important,NA
value_CHA,Moderately important,Unable to perform
value_CHA,Somewhat important,NA
value_CHA,Moderately important,Beginner
value_CHA,Moderately important,Proficient
value_CHA,Moderately important,Beginner
value_CHA,Not Important,NA
