topic,policy_imp,policy_skill
desc_relation,NA,NA
desc_relation,Very important,Beginner
desc_relation,Very important,Proficient
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Beginner
desc_relation,Moderately important,Unable to perform
desc_relation,Somewhat important,NA
desc_relation,Very important,Proficient
desc_relation,Not Important,NA
desc_relation,Moderately important,Beginner
desc_relation,NA,NA
desc_relation,Moderately important,Proficient
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Beginner
desc_relation,NA,NA
desc_relation,Moderately important,Proficient
desc_relation,Very important,Proficient
desc_relation,Not Important,NA
desc_relation,Very important,Proficient
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Moderately important,Beginner
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Moderately important,Beginner
desc_relation,Moderately important,Unable to perform
desc_relation,Very important,Beginner
desc_relation,NA,NA
desc_relation,Moderately important,Unable to perform
desc_relation,Moderately important,Beginner
desc_relation,Moderately important,Beginner
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Unable to perform
desc_relation,Very important,Proficient
desc_relation,NA,NA
desc_relation,Moderately important,Beginner
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Unable to perform
desc_relation,Very important,Proficient
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Very important,Proficient
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Beginner
desc_relation,NA,NA
desc_relation,Moderately important,Beginner
desc_relation,NA,NA
desc_relation,Moderately important,Proficient
desc_relation,Somewhat important,NA
desc_relation,Somewhat important,NA
desc_relation,Very important,Beginner
desc_relation,Very important,Proficient
desc_relation,Moderately important,Beginner
desc_relation,Very important,Beginner
desc_relation,Moderately important,Proficient
desc_relation,Somewhat important,NA
desc_relation,Somewhat important,NA
desc_relation,Very important,Proficient
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Moderately important,Beginner
desc_relation,Somewhat important,NA
desc_relation,Very important,Proficient
desc_relation,Moderately important,Proficient
desc_relation,Very important,Proficient
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Very important,Proficient
desc_relation,Moderately important,Proficient
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Proficient
desc_relation,Moderately important,Proficient
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Moderately important,Beginner
desc_relation,NA,NA
desc_relation,Not Important,NA
desc_relation,Very important,Proficient
desc_relation,Moderately important,Proficient
desc_relation,Moderately important,Proficient
desc_relation,Moderately important,Proficient
desc_relation,Very important,Beginner
desc_relation,Moderately important,Proficient
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,Very important,Beginner
desc_relation,Moderately important,Proficient
desc_relation,Somewhat important,NA
desc_relation,Very important,Proficient
desc_relation,Moderately important,Unable to perform
desc_relation,Very important,Beginner
desc_relation,Moderately important,Expert
desc_relation,Moderately important,Beginner
desc_relation,NA,NA
desc_relation,Moderately important,Beginner
desc_relation,Moderately important,Proficient
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Moderately important,Beginner
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,Very important,Proficient
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Proficient
desc_relation,Very important,Expert
desc_relation,Moderately important,Proficient
desc_relation,Somewhat important,NA
desc_relation,Very important,Proficient
desc_relation,NA,NA
desc_relation,Moderately important,Beginner
desc_relation,Moderately important,Proficient
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Moderately important,Proficient
desc_relation,Not Important,NA
desc_relation,Moderately important,Proficient
desc_relation,Moderately important,Proficient
desc_relation,Moderately important,Proficient
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Not Important,NA
desc_relation,Moderately important,Expert
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Moderately important,Proficient
desc_relation,Moderately important,Beginner
desc_relation,NA,NA
desc_relation,Moderately important,Beginner
desc_relation,Moderately important,Beginner
desc_relation,NA,NA
desc_relation,Moderately important,Proficient
desc_relation,NA,NA
desc_relation,Not Important,NA
desc_relation,Moderately important,Proficient
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Proficient
desc_relation,Very important,Proficient
desc_relation,Very important,Beginner
desc_relation,Not Important,NA
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,Moderately important,Beginner
desc_relation,Moderately important,Proficient
desc_relation,Moderately important,Beginner
desc_relation,NA,NA
desc_relation,NA,NA
desc_relation,Moderately important,Proficient
desc_relation,Very important,Beginner
desc_relation,NA,NA
desc_relation,Moderately important,Proficient
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,NA,NA
desc_relation,Very important,Expert
desc_relation,NA,NA
desc_relation,Somewhat important,NA
desc_relation,Very important,Proficient
desc_relation,Moderately important,Beginner
desc_relation,NA,NA
desc_relation,Moderately important,Beginner
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Beginner
desc_relation,Somewhat important,NA
desc_relation,Moderately important,Proficient
desc_relation,Somewhat important,NA
desc_relation,Very important,Proficient
desc_relation,Moderately important,Beginner
desc_relation,Somewhat important,NA
desc_relation,Somewhat important,NA
desc_relation,NA,NA
