respondent_id,lhj_code,region,size,agency,supervisor_status,domain,topic,imp_rank,skill_rank,section
_001,QGZ,Region 1,Small,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_002,QGZ,Region 1,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_003,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_004,SMA,Region 1,Medium,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_005,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Somewhat important,NA,SecA
_006,PQS,Region 4,Large,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_007,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_008,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Somewhat important,NA,SecA
_009,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Somewhat important,NA,SecA
_010,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_011,QGZ,Region 1,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_012,QGZ,Region 1,Small,County Health Department,Non-supervisor,comm,comm_target,Not Important,NA,SecA
_013,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_014,PQS,Region 4,Large,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_015,WBW,Region 5,Large,County Health Department,Non-supervisor,comm,comm_target,Somewhat important,NA,SecA
_016,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_017,JIK,Region 1,Frontier,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_018,SAA,Region 1,Frontier,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_019,SMA,Region 1,Medium,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_020,WBW,Region 5,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_021,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Beginner,SecA
_022,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_023,CYQ,Region 5,Small,Tribal Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_024,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_025,CYQ,Region 5,Small,Tribal Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_026,JIK,Region 1,Frontier,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_027,CYQ,Region 5,Small,Tribal Health Department,Executive,comm,comm_target,NA,NA,SecA
_028,QGZ,Region 1,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_029,PQS,Region 4,Large,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_030,PQS,Region 4,Large,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_031,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_032,QGZ,Region 1,Small,County Health Department,Non-supervisor,comm,comm_target,Very important,Beginner,SecA
_033,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_034,PQS,Region 4,Large,County Health Department,Executive,comm,comm_target,NA,NA,SecA
_035,PQS,Region 4,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Expert,SecA
_036,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,comm,comm_target,Moderately important,Beginner,SecA
_037,WBW,Region 5,Large,County Health Department,Non-supervisor,comm,comm_target,Moderately important,Proficient,SecA
_038,PQS,Region 4,Large,County Health Department,Supervisor,comm,comm_target,NA,NA,SecA
_039,WBW,Region 5,Large,County Health Department,Non-supervisor,comm,comm_target,Very important,Proficient,SecA
_040,TDK,Region 1,Medium,County Health Department,Non-supervisor,comm,comm_target,Very important,Beginner,SecA
