respondent_id,lhj_code,region,size,agency,supervisor_status,domain,topic,imp_rank,skill_rank
_001,QGZ,Region 1,Small,County Health Department,Supervisor,data,id_sources,Very important,Proficient
_002,QGZ,Region 1,Small,County Health Department,Non-supervisor,data,id_sources,Very important,Proficient
_003,PQS,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Very important,Proficient
_004,SMA,Region 1,Medium,County Health Department,Supervisor,data,id_sources,Very important,Proficient
_005,PQS,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Somewhat important,NA
_006,PQS,Region 4,Large,County Health Department,Supervisor,data,id_sources,Moderately important,Proficient
_007,PQS,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Very important,Proficient
_008,PQS,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Somewhat important,NA
_009,PQS,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Moderately important,Beginner
_010,PQS,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Somewhat important,NA
_011,QGZ,Region 1,Small,County Health Department,Non-supervisor,data,id_sources,Very important,Proficient
_012,QGZ,Region 1,Small,County Health Department,Non-supervisor,data,id_sources,Moderately important,Proficient
_013,PQS,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Very important,Proficient
_014,PQS,Region 4,Large,County Health Department,Supervisor,data,id_sources,Somewhat important,NA
_015,WBW,Region 5,Large,County Health Department,Non-supervisor,data,id_sources,Not Important,NA
_016,PQS,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Moderately important,Beginner
_017,JIK,Region 1,Frontier,County Health Department,Non-supervisor,data,id_sources,Moderately important,Proficient
_018,SAA,Region 1,Frontier,County Health Department,Supervisor,data,id_sources,Moderately important,Proficient
_019,SMA,Region 1,Medium,County Health Department,Non-supervisor,data,id_sources,Moderately important,Proficient
_020,WBW,Region 5,Large,County Health Department,Non-supervisor,data,id_sources,Moderately important,Proficient
_021,PQS,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Somewhat important,NA
_022,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,data,id_sources,Very important,Proficient
_023,CYQ,Region 5,Small,Tribal Health Department,Supervisor,data,id_sources,Very important,Beginner
_024,PQS,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Moderately important,Proficient
_025,CYQ,Region 5,Small,Tribal Health Department,Supervisor,data,id_sources,Very important,Unable to perform
_026,JIK,Region 1,Frontier,County Health Department,Supervisor,data,id_sources,Very important,Beginner
_027,CYQ,Region 5,Small,Tribal Health Department,Executive,data,id_sources,NA,NA
_028,QGZ,Region 1,Small,County Health Department,Non-supervisor,data,id_sources,Moderately important,Proficient
_029,PQS,Region 4,Large,County Health Department,Supervisor,data,id_sources,Very important,Proficient
_030,PQS,Region 4,Large,County Health Department,Supervisor,data,id_sources,Moderately important,Proficient
_031,PQS,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Very important,Expert
_032,QGZ,Region 1,Small,County Health Department,Non-supervisor,data,id_sources,Somewhat important,NA
_033,PQS,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Moderately important,Proficient
_034,PQS,Region 4,Large,County Health Department,Executive,data,id_sources,NA,NA
_035,PQS,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Somewhat important,NA
_036,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,data,id_sources,Moderately important,Unable to perform
_037,WBW,Region 5,Large,County Health Department,Non-supervisor,data,id_sources,Moderately important,Proficient
_038,PQS,Region 4,Large,County Health Department,Supervisor,data,id_sources,Very important,Beginner
_039,WBW,Region 5,Large,County Health Department,Non-supervisor,data,id_sources,Somewhat important,NA
_040,TDK,Region 1,Medium,County Health Department,Non-supervisor,data,id_sources,Very important,Proficient
_041,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,data,id_sources,Very important,Proficient
_042,TDK,Region 1,Medium,County Health Department,Executive,data,id_sources,NA,NA
_043,HPF,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Very important,Proficient
_044,HPF,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Moderately important,Proficient
_045,HPF,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Very important,Beginner
_046,HPF,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Moderately important,Proficient
_047,HPF,Region 4,Large,County Health Department,Supervisor,data,id_sources,Moderately important,Proficient
_048,HPF,Region 4,Large,County Health Department,Executive,data,id_sources,NA,NA
_049,TDK,Region 1,Medium,County Health Department,Non-supervisor,data,id_sources,Very important,Expert
_050,PQS,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Very important,Proficient
_051,HPF,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Somewhat important,NA
_052,TDK,Region 1,Medium,County Health Department,Supervisor,data,id_sources,Very important,Proficient
_053,TDK,Region 1,Medium,County Health Department,Non-supervisor,data,id_sources,Very important,Proficient
_054,GMU,Region 1,Frontier,County Health Department,Executive,data,id_sources,NA,NA
_055,TDK,Region 1,Medium,County Health Department,Non-supervisor,data,id_sources,Very important,Proficient
_056,PQS,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Very important,Proficient
_057,PQS,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Somewhat important,NA
_058,HPF,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Moderately important,Proficient
_059,TDK,Region 1,Medium,County Health Department,Non-supervisor,data,id_sources,Very important,Proficient
_060,QGZ,Region 1,Small,County Health Department,Non-supervisor,data,id_sources,Very important,Proficient
_061,PQS,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Moderately important,Beginner
_062,ZAP,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Very important,Proficient
_063,PQS,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Somewhat important,NA
_064,ZAP,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Moderately important,Proficient
_065,ZAP,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Moderately important,Proficient
_066,QGZ,Region 1,Small,County Health Department,Supervisor,data,id_sources,Somewhat important,NA
_067,TDK,Region 1,Medium,County Health Department,Supervisor,data,id_sources,Moderately important,Expert
_068,ZAP,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Moderately important,Beginner
_069,HPF,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Moderately important,Proficient
_070,HPF,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Very important,Beginner
_071,WBW,Region 5,Large,County Health Department,Non-supervisor,data,id_sources,Very important,Proficient
_072,PQS,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Moderately important,Proficient
_073,WBW,Region 5,Large,County Health Department,Supervisor,data,id_sources,Moderately important,Proficient
_074,PQS,Region 4,Large,County Health Department,Supervisor,data,id_sources,Very important,Proficient
_075,PQS,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Somewhat important,NA
_076,HPF,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Somewhat important,NA
_077,PRF,Region 4,Medium,County Health Department,Supervisor,data,id_sources,Very important,Proficient
_078,PQS,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Moderately important,Beginner
_079,HPF,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Moderately important,Proficient
_080,PQS,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Moderately important,Proficient
_081,PQS,Region 4,Large,County Health Department,Supervisor,data,id_sources,Somewhat important,NA
_082,KRO,Region 1,Small,County Health Department,Non-supervisor,data,id_sources,Somewhat important,NA
_083,KRO,Region 1,Small,County Health Department,Non-supervisor,data,id_sources,Moderately important,Proficient
_084,KRO,Region 1,Small,County Health Department,Supervisor,data,id_sources,Very important,Proficient
_085,JMO,Region 1,Small,County Health Department,Supervisor,data,id_sources,Moderately important,Proficient
_086,HPF,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Moderately important,Beginner
_087,HPF,Region 4,Large,County Health Department,Executive,data,id_sources,NA,NA
_088,PQS,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Very important,Proficient
_089,HPF,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Moderately important,Proficient
_090,KRO,Region 1,Small,County Health Department,Non-supervisor,data,id_sources,Moderately important,Proficient
_091,QGZ,Region 1,Small,County Health Department,Non-supervisor,data,id_sources,Very important,Proficient
_092,HPF,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Moderately important,Proficient
_093,SMA,Region 1,Medium,County Health Department,Non-supervisor,data,id_sources,Very important,Proficient
_094,TDK,Region 1,Medium,County Health Department,Non-supervisor,data,id_sources,Somewhat important,NA
_095,PQS,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Moderately important,Proficient
_096,SMA,Region 1,Medium,County Health Department,Supervisor,data,id_sources,Very important,Proficient
_097,PQS,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Very important,Beginner
_098,PQS,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Somewhat important,NA
_099,QGZ,Region 1,Small,County Health Department,Non-supervisor,data,id_sources,Somewhat important,NA
_100,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,data,id_sources,Very important,Expert
_101,QGZ,Region 1,Small,County Health Department,Non-supervisor,data,id_sources,Moderately important,Proficient
_102,KRO,Region 1,Small,County Health Department,Non-supervisor,data,id_sources,Very important,Proficient
_103,NCJ,Region 2,Small,County Health Department,Non-supervisor,data,id_sources,Very important,Expert
_104,NCJ,Region 2,Small,County Health Department,Non-supervisor,data,id_sources,Moderately important,Beginner
_105,NCJ,Region 2,Small,County Health Department,Supervisor,data,id_sources,Very important,Expert
_106,NCJ,Region 2,Small,County Health Department,Non-supervisor,data,id_sources,Somewhat important,NA
_107,PQS,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Somewhat important,NA
_108,CYQ,Region 5,Small,Tribal Health Department,Supervisor,data,id_sources,Very important,Proficient
_109,STW,Region 5,Small,County Health Department,Supervisor,data,id_sources,Very important,Proficient
_110,NDQ,Region 3,Medium,County Health Department,Supervisor,data,id_sources,Very important,Proficient
_111,NDQ,Region 3,Medium,County Health Department,Non-supervisor,data,id_sources,Very important,Proficient
_112,NCJ,Region 2,Small,County Health Department,Non-supervisor,data,id_sources,Somewhat important,NA
_113,TDK,Region 1,Medium,County Health Department,Supervisor,data,id_sources,Very important,Expert
_114,TDK,Region 1,Medium,County Health Department,Non-supervisor,data,id_sources,Very important,Proficient
_115,NDQ,Region 3,Medium,County Health Department,Supervisor,data,id_sources,Very important,Beginner
_116,NDQ,Region 3,Medium,County Health Department,Non-supervisor,data,id_sources,Moderately important,Proficient
_117,TDK,Region 1,Medium,County Health Department,Non-supervisor,data,id_sources,Very important,Proficient
_118,HPF,Region 4,Large,County Health Department,Non-supervisor,data,id_sources,Very important,Expert
_119,KRO,Region 1,Small,County Health Department,Non-supervisor,data,id_sources,Moderately important,Proficient
_120,TDK,Region 1,Medium,County Health Department,Non-supervisor,data,id_sources,Somewhat important,NA
_121,TDK,Region 1,Medium,County Health Department,Non-supervisor,data,id_sources,Moderately important,Proficient
_122,ZGF,Region 4,Frontier,County Health Department,Supervisor,data,id_sources,Very important,Beginner
_123,QGZ,Region 1,Small,County Health Department,Non-supervisor,data,id_sources,Moderately important,Beginner
_124,ZGF,Region 4,Frontier,County Health Department,Non-supervisor,data,id_sources,Moderately important,Proficient
_125,RIP,Region 4,Frontier,County Health Department,Executive,data,id_sources,NA,NA
