respondent_id,lhj_code,region,size,agency,supervisor_status,domain,topic,imp_rank,skill_rank
_001,QGZ,Region 1,Small,County Health Department,Supervisor,justice,desc_val_diversity,NA,NA
_002,QGZ,Region 1,Small,County Health Department,Non-supervisor,justice,desc_val_diversity,Very important,Proficient
_003,PQS,Region 4,Large,County Health Department,Non-supervisor,justice,desc_val_diversity,Very important,Proficient
_004,SMA,Region 1,Medium,County Health Department,Supervisor,justice,desc_val_diversity,NA,NA
_005,PQS,Region 4,Large,County Health Department,Non-supervisor,justice,desc_val_diversity,Very important,Proficient
_006,PQS,Region 4,Large,County Health Department,Supervisor,justice,desc_val_diversity,NA,NA
_007,PQS,Region 4,Large,County Health Department,Non-supervisor,justice,desc_val_diversity,Not Important,NA
_008,PQS,Region 4,Large,County Health Department,Non-supervisor,justice,desc_val_diversity,Very important,Proficient
_009,PQS,Region 4,Large,County Health Department,Non-supervisor,justice,desc_val_diversity,Very important,Proficient
_010,PQS,Region 4,Large,County Health Department,Non-supervisor,justice,desc_val_diversity,Very important,Proficient
_011,QGZ,Region 1,Small,County Health Department,Non-supervisor,justice,desc_val_diversity,Moderately important,Proficient
_012,QGZ,Region 1,Small,County Health Department,Non-supervisor,justice,desc_val_diversity,Somewhat important,NA
_013,PQS,Region 4,Large,County Health Department,Non-supervisor,justice,desc_val_diversity,Moderately important,Proficient
_014,PQS,Region 4,Large,County Health Department,Supervisor,justice,desc_val_diversity,NA,NA
_015,WBW,Region 5,Large,County Health Department,Non-supervisor,justice,desc_val_diversity,Very important,Expert
_016,PQS,Region 4,Large,County Health Department,Non-supervisor,justice,desc_val_diversity,Somewhat important,NA
_017,JIK,Region 1,Frontier,County Health Department,Non-supervisor,justice,desc_val_diversity,Moderately important,Proficient
_018,SAA,Region 1,Frontier,County Health Department,Supervisor,justice,desc_val_diversity,NA,NA
_019,SMA,Region 1,Medium,County Health Department,Non-supervisor,justice,desc_val_diversity,Moderately important,Proficient
_020,WBW,Region 5,Large,County Health Department,Non-supervisor,justice,desc_val_diversity,Moderately important,Proficient
_021,PQS,Region 4,Large,County Health Department,Non-supervisor,justice,desc_val_diversity,Not Important,NA
_022,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,justice,desc_val_diversity,Somewhat important,NA
_023,CYQ,Region 5,Small,Tribal Health Department,Supervisor,justice,desc_val_diversity,NA,NA
_024,PQS,Region 4,Large,County Health Department,Non-supervisor,justice,desc_val_diversity,Moderately important,Proficient
_025,CYQ,Region 5,Small,Tribal Health Department,Supervisor,justice,desc_val_diversity,NA,NA
_026,JIK,Region 1,Frontier,County Health Department,Supervisor,justice,desc_val_diversity,NA,NA
_027,CYQ,Region 5,Small,Tribal Health Department,Executive,justice,desc_val_diversity,NA,NA
_028,QGZ,Region 1,Small,County Health Department,Non-supervisor,justice,desc_val_diversity,Somewhat important,NA
_029,PQS,Region 4,Large,County Health Department,Supervisor,justice,desc_val_diversity,NA,NA
_030,PQS,Region 4,Large,County Health Department,Supervisor,justice,desc_val_diversity,NA,NA
_031,PQS,Region 4,Large,County Health Department,Non-supervisor,justice,desc_val_diversity,Very important,Beginner
_032,QGZ,Region 1,Small,County Health Department,Non-supervisor,justice,desc_val_diversity,Very important,Proficient
_033,PQS,Region 4,Large,County Health Department,Non-supervisor,justice,desc_val_diversity,Moderately important,Proficient
_034,PQS,Region 4,Large,County Health Department,Executive,justice,desc_val_diversity,NA,NA
_035,PQS,Region 4,Large,County Health Department,Non-supervisor,justice,desc_val_diversity,Not Important,NA
_036,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,justice,desc_val_diversity,Moderately important,Proficient
_037,WBW,Region 5,Large,County Health Department,Non-supervisor,justice,desc_val_diversity,Moderately important,Beginner
_038,PQS,Region 4,Large,County Health Department,Supervisor,justice,desc_val_diversity,NA,NA
_039,WBW,Region 5,Large,County Health Department,Non-supervisor,justice,desc_val_diversity,Somewhat important,NA
_040,TDK,Region 1,Medium,County Health Department,Non-supervisor,justice,desc_val_diversity,Very important,Proficient
_041,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,justice,desc_val_diversity,Very important,Proficient
_042,TDK,Region 1,Medium,County Health Department,Executive,justice,desc_val_diversity,NA,NA
_043,HPF,Region 4,Large,County Health Department,Non-supervisor,justice,desc_val_diversity,Very important,Proficient
_044,HPF,Region 4,Large,County Health Department,Non-supervisor,justice,desc_val_diversity,Very important,Proficient
_045,HPF,Region 4,Large,County Health Department,Non-supervisor,justice,desc_val_diversity,Very important,Proficient
_046,HPF,Region 4,Large,County Health Department,Non-supervisor,justice,desc_val_diversity,Somewhat important,NA
_047,HPF,Region 4,Large,County Health Department,Supervisor,justice,desc_val_diversity,NA,NA
_048,HPF,Region 4,Large,County Health Department,Executive,justice,desc_val_diversity,NA,NA
_049,TDK,Region 1,Medium,County Health Department,Non-supervisor,justice,desc_val_diversity,Moderately important,Expert
_050,PQS,Region 4,Large,County Health Department,Non-supervisor,justice,desc_val_diversity,Very important,Proficient
_051,HPF,Region 4,Large,County Health Department,Non-supervisor,justice,desc_val_diversity,Very important,Proficient
_052,TDK,Region 1,Medium,County Health Department,Supervisor,justice,desc_val_diversity,NA,NA
_053,TDK,Region 1,Medium,County Health Department,Non-supervisor,justice,desc_val_diversity,Very important,Proficient
_054,GMU,Region 1,Frontier,County Health Department,Executive,justice,desc_val_diversity,NA,NA
_055,TDK,Region 1,Medium,County Health Department,Non-supervisor,justice,desc_val_diversity,Moderately important,Proficient
_056,PQS,Region 4,Large,County Health Department,Non-supervisor,justice,desc_val_diversity,Very important,Proficient
_057,PQS,Region 4,Large,County Health Department,Non-supervisor,justice,desc_val_diversity,Moderately important,Expert
_058,HPF,Region 4,Large,County Health Department,Non-supervisor,justice,desc_val_diversity,Very important,Proficient
_059,TDK,Region 1,Medium,County Health Department,Non-supervisor,justice,desc_val_diversity,Very important,Proficient
_060,QGZ,Region 1,Small,County Health Department,Non-supervisor,justice,desc_val_diversity,Very important,Proficient
_061,PQS,Region 4,Large,County Health Department,Non-supervisor,justice,desc_val_diversity,Not Important,NA
