respondent_id,lhj_code,region,size,agency,supervisor_status,domain,topic,imp_rank,skill_rank
_001,QGZ,Region 1,Small,County Health Department,Supervisor,change,desc_impact_change,NA,NA
_002,QGZ,Region 1,Small,County Health Department,Non-supervisor,change,desc_impact_change,Very important,Beginner
_003,PQS,Region 4,Large,County Health Department,Non-supervisor,change,desc_impact_change,Moderately important,Proficient
_004,SMA,Region 1,Medium,County Health Department,Supervisor,change,desc_impact_change,NA,NA
_005,PQS,Region 4,Large,County Health Department,Non-supervisor,change,desc_impact_change,Somewhat important,NA
_006,PQS,Region 4,Large,County Health Department,Supervisor,change,desc_impact_change,NA,NA
_007,PQS,Region 4,Large,County Health Department,Non-supervisor,change,desc_impact_change,Not Important,NA
_008,PQS,Region 4,Large,County Health Department,Non-supervisor,change,desc_impact_change,Moderately important,Beginner
_009,PQS,Region 4,Large,County Health Department,Non-supervisor,change,desc_impact_change,Moderately important,Beginner
_010,PQS,Region 4,Large,County Health Department,Non-supervisor,change,desc_impact_change,Moderately important,Proficient
_011,QGZ,Region 1,Small,County Health Department,Non-supervisor,change,desc_impact_change,Very important,Proficient
_012,QGZ,Region 1,Small,County Health Department,Non-supervisor,change,desc_impact_change,Not Important,NA
_013,PQS,Region 4,Large,County Health Department,Non-supervisor,change,desc_impact_change,Somewhat important,NA
_014,PQS,Region 4,Large,County Health Department,Supervisor,change,desc_impact_change,NA,NA
_015,WBW,Region 5,Large,County Health Department,Non-supervisor,change,desc_impact_change,Moderately important,Beginner
_016,PQS,Region 4,Large,County Health Department,Non-supervisor,change,desc_impact_change,Somewhat important,NA
_017,JIK,Region 1,Frontier,County Health Department,Non-supervisor,change,desc_impact_change,Very important,Proficient
_018,SAA,Region 1,Frontier,County Health Department,Supervisor,change,desc_impact_change,NA,NA
_019,SMA,Region 1,Medium,County Health Department,Non-supervisor,change,desc_impact_change,Moderately important,Proficient
_020,WBW,Region 5,Large,County Health Department,Non-supervisor,change,desc_impact_change,Very important,Proficient
_021,PQS,Region 4,Large,County Health Department,Non-supervisor,change,desc_impact_change,Not Important,NA
_022,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,change,desc_impact_change,Very important,Proficient
_023,CYQ,Region 5,Small,Tribal Health Department,Supervisor,change,desc_impact_change,NA,NA
_024,PQS,Region 4,Large,County Health Department,Non-supervisor,change,desc_impact_change,Moderately important,Proficient
_025,CYQ,Region 5,Small,Tribal Health Department,Supervisor,change,desc_impact_change,NA,NA
_026,JIK,Region 1,Frontier,County Health Department,Supervisor,change,desc_impact_change,NA,NA
_027,CYQ,Region 5,Small,Tribal Health Department,Executive,change,desc_impact_change,NA,NA
_028,QGZ,Region 1,Small,County Health Department,Non-supervisor,change,desc_impact_change,Very important,Expert
_029,PQS,Region 4,Large,County Health Department,Supervisor,change,desc_impact_change,NA,NA
_030,PQS,Region 4,Large,County Health Department,Supervisor,change,desc_impact_change,NA,NA
_031,PQS,Region 4,Large,County Health Department,Non-supervisor,change,desc_impact_change,Moderately important,Beginner
_032,QGZ,Region 1,Small,County Health Department,Non-supervisor,change,desc_impact_change,Very important,Proficient
_033,PQS,Region 4,Large,County Health Department,Non-supervisor,change,desc_impact_change,Very important,Proficient
_034,PQS,Region 4,Large,County Health Department,Executive,change,desc_impact_change,NA,NA
_035,PQS,Region 4,Large,County Health Department,Non-supervisor,change,desc_impact_change,Moderately important,Proficient
_036,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,change,desc_impact_change,Moderately important,Beginner
_037,WBW,Region 5,Large,County Health Department,Non-supervisor,change,desc_impact_change,Moderately important,Beginner
_038,PQS,Region 4,Large,County Health Department,Supervisor,change,desc_impact_change,NA,NA
_039,WBW,Region 5,Large,County Health Department,Non-supervisor,change,desc_impact_change,Moderately important,Proficient
_040,TDK,Region 1,Medium,County Health Department,Non-supervisor,change,desc_impact_change,Moderately important,Beginner
_041,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,change,desc_impact_change,Moderately important,Beginner
_042,TDK,Region 1,Medium,County Health Department,Executive,change,desc_impact_change,NA,NA
_043,HPF,Region 4,Large,County Health Department,Non-supervisor,change,desc_impact_change,Very important,Unable to perform
_044,HPF,Region 4,Large,County Health Department,Non-supervisor,change,desc_impact_change,Very important,Proficient
_045,HPF,Region 4,Large,County Health Department,Non-supervisor,change,desc_impact_change,Very important,Beginner
_046,HPF,Region 4,Large,County Health Department,Non-supervisor,change,desc_impact_change,Somewhat important,NA
