respondent_id,lhj_code,region,size,agency,supervisor_status,domain,topic,imp_rank,skill_rank
_001,QGZ,Region 1,Small,County Health Department,Supervisor,systems,integ_trends_programs,Very important,Proficient
_002,QGZ,Region 1,Small,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_003,PQS,Region 4,Large,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_004,SMA,Region 1,Medium,County Health Department,Supervisor,systems,integ_trends_programs,Very important,Proficient
_005,PQS,Region 4,Large,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_006,PQS,Region 4,Large,County Health Department,Supervisor,systems,integ_trends_programs,Somewhat important,NA
_007,PQS,Region 4,Large,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_008,PQS,Region 4,Large,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_009,PQS,Region 4,Large,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_010,PQS,Region 4,Large,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_011,QGZ,Region 1,Small,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_012,QGZ,Region 1,Small,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_013,PQS,Region 4,Large,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_014,PQS,Region 4,Large,County Health Department,Supervisor,systems,integ_trends_programs,Somewhat important,NA
_015,WBW,Region 5,Large,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_016,PQS,Region 4,Large,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_017,JIK,Region 1,Frontier,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_018,SAA,Region 1,Frontier,County Health Department,Supervisor,systems,integ_trends_programs,Very important,Beginner
_019,SMA,Region 1,Medium,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_020,WBW,Region 5,Large,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_021,PQS,Region 4,Large,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_022,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_023,CYQ,Region 5,Small,Tribal Health Department,Supervisor,systems,integ_trends_programs,Very important,Beginner
_024,PQS,Region 4,Large,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_025,CYQ,Region 5,Small,Tribal Health Department,Supervisor,systems,integ_trends_programs,Moderately important,Beginner
_026,JIK,Region 1,Frontier,County Health Department,Supervisor,systems,integ_trends_programs,Moderately important,Beginner
_027,CYQ,Region 5,Small,Tribal Health Department,Executive,systems,integ_trends_programs,NA,NA
_028,QGZ,Region 1,Small,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_029,PQS,Region 4,Large,County Health Department,Supervisor,systems,integ_trends_programs,Moderately important,Beginner
_030,PQS,Region 4,Large,County Health Department,Supervisor,systems,integ_trends_programs,Very important,Beginner
_031,PQS,Region 4,Large,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_032,QGZ,Region 1,Small,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_033,PQS,Region 4,Large,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_034,PQS,Region 4,Large,County Health Department,Executive,systems,integ_trends_programs,NA,NA
_035,PQS,Region 4,Large,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_036,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_037,WBW,Region 5,Large,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_038,PQS,Region 4,Large,County Health Department,Supervisor,systems,integ_trends_programs,Very important,Proficient
_039,WBW,Region 5,Large,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_040,TDK,Region 1,Medium,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_041,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_042,TDK,Region 1,Medium,County Health Department,Executive,systems,integ_trends_programs,NA,NA
_043,HPF,Region 4,Large,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_044,HPF,Region 4,Large,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_045,HPF,Region 4,Large,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_046,HPF,Region 4,Large,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_047,HPF,Region 4,Large,County Health Department,Supervisor,systems,integ_trends_programs,Moderately important,Proficient
_048,HPF,Region 4,Large,County Health Department,Executive,systems,integ_trends_programs,NA,NA
_049,TDK,Region 1,Medium,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_050,PQS,Region 4,Large,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_051,HPF,Region 4,Large,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_052,TDK,Region 1,Medium,County Health Department,Supervisor,systems,integ_trends_programs,Very important,Proficient
_053,TDK,Region 1,Medium,County Health Department,Non-supervisor,systems,integ_trends_programs,NA,NA
_054,GMU,Region 1,Frontier,County Health Department,Executive,systems,integ_trends_programs,NA,NA
