respondent_id,lhj_code,region,size,agency,supervisor_status,domain,topic,imp_rank,skill_rank
_001,QGZ,Region 1,Small,County Health Department,Supervisor,engage,value_CHA,NA,NA
_002,QGZ,Region 1,Small,County Health Department,Non-supervisor,engage,value_CHA,Very important,Beginner
_003,PQS,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Very important,Proficient
_004,SMA,Region 1,Medium,County Health Department,Supervisor,engage,value_CHA,NA,NA
_005,PQS,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Somewhat important,NA
_006,PQS,Region 4,Large,County Health Department,Supervisor,engage,value_CHA,NA,NA
_007,PQS,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Somewhat important,NA
_008,PQS,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Moderately important,Beginner
_009,PQS,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Very important,Proficient
_010,PQS,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Moderately important,Beginner
_011,QGZ,Region 1,Small,County Health Department,Non-supervisor,engage,value_CHA,Moderately important,Beginner
_012,QGZ,Region 1,Small,County Health Department,Non-supervisor,engage,value_CHA,Not Important,NA
_013,PQS,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Moderately important,Proficient
_014,PQS,Region 4,Large,County Health Department,Supervisor,engage,value_CHA,NA,NA
_015,WBW,Region 5,Large,County Health Department,Non-supervisor,engage,value_CHA,Somewhat important,NA
_016,PQS,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Moderately important,Beginner
_017,JIK,Region 1,Frontier,County Health Department,Non-supervisor,engage,value_CHA,Very important,Proficient
_018,SAA,Region 1,Frontier,County Health Department,Supervisor,engage,value_CHA,NA,NA
_019,SMA,Region 1,Medium,County Health Department,Non-supervisor,engage,value_CHA,Moderately important,Proficient
_020,WBW,Region 5,Large,County Health Department,Non-supervisor,engage,value_CHA,Very important,Proficient
_021,PQS,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Not Important,NA
_022,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,engage,value_CHA,Very important,Proficient
_023,CYQ,Region 5,Small,Tribal Health Department,Supervisor,engage,value_CHA,NA,NA
_024,PQS,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Somewhat important,NA
_025,CYQ,Region 5,Small,Tribal Health Department,Supervisor,engage,value_CHA,NA,NA
_026,JIK,Region 1,Frontier,County Health Department,Supervisor,engage,value_CHA,NA,NA
_027,CYQ,Region 5,Small,Tribal Health Department,Executive,engage,value_CHA,NA,NA
_028,QGZ,Region 1,Small,County Health Department,Non-supervisor,engage,value_CHA,Somewhat important,NA
_029,PQS,Region 4,Large,County Health Department,Supervisor,engage,value_CHA,NA,NA
_030,PQS,Region 4,Large,County Health Department,Supervisor,engage,value_CHA,NA,NA
_031,PQS,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Very important,Beginner
_032,QGZ,Region 1,Small,County Health Department,Non-supervisor,engage,value_CHA,Very important,Beginner
_033,PQS,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Moderately important,Proficient
_034,PQS,Region 4,Large,County Health Department,Executive,engage,value_CHA,NA,NA
_035,PQS,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Somewhat important,NA
_036,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,engage,value_CHA,Moderately important,Beginner
_037,WBW,Region 5,Large,County Health Department,Non-supervisor,engage,value_CHA,Moderately important,Beginner
_038,PQS,Region 4,Large,County Health Department,Supervisor,engage,value_CHA,NA,NA
_039,WBW,Region 5,Large,County Health Department,Non-supervisor,engage,value_CHA,Not Important,NA
_040,TDK,Region 1,Medium,County Health Department,Non-supervisor,engage,value_CHA,Very important,Beginner
_041,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,engage,value_CHA,Very important,Proficient
_042,TDK,Region 1,Medium,County Health Department,Executive,engage,value_CHA,NA,NA
_043,HPF,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Very important,Beginner
_044,HPF,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Moderately important,Proficient
_045,HPF,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Moderately important,Beginner
_046,HPF,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Somewhat important,NA
_047,HPF,Region 4,Large,County Health Department,Supervisor,engage,value_CHA,NA,NA
_048,HPF,Region 4,Large,County Health Department,Executive,engage,value_CHA,NA,NA
_049,TDK,Region 1,Medium,County Health Department,Non-supervisor,engage,value_CHA,Very important,Proficient
_050,PQS,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Very important,Beginner
_051,HPF,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Somewhat important,NA
_052,TDK,Region 1,Medium,County Health Department,Supervisor,engage,value_CHA,NA,NA
_053,TDK,Region 1,Medium,County Health Department,Non-supervisor,engage,value_CHA,Very important,Proficient
_054,GMU,Region 1,Frontier,County Health Department,Executive,engage,value_CHA,NA,NA
_055,TDK,Region 1,Medium,County Health Department,Non-supervisor,engage,value_CHA,Very important,Proficient
_056,PQS,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Somewhat important,NA
_057,PQS,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Somewhat important,NA
_058,HPF,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Very important,Proficient
_059,TDK,Region 1,Medium,County Health Department,Non-supervisor,engage,value_CHA,Very important,Proficient
_060,QGZ,Region 1,Small,County Health Department,Non-supervisor,engage,value_CHA,Moderately important,Beginner
_061,PQS,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Moderately important,Beginner
_062,ZAP,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Moderately important,Proficient
_063,PQS,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Somewhat important,NA
_064,ZAP,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Not Important,NA
_065,ZAP,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Very important,Proficient
_066,QGZ,Region 1,Small,County Health Department,Supervisor,engage,value_CHA,NA,NA
_067,TDK,Region 1,Medium,County Health Department,Supervisor,engage,value_CHA,NA,NA
_068,ZAP,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Very important,Beginner
_069,HPF,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Somewhat important,NA
_070,HPF,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Very important,Proficient
_071,WBW,Region 5,Large,County Health Department,Non-supervisor,engage,value_CHA,Moderately important,Proficient
_072,PQS,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Very important,Proficient
_073,WBW,Region 5,Large,County Health Department,Supervisor,engage,value_CHA,NA,NA
_074,PQS,Region 4,Large,County Health Department,Supervisor,engage,value_CHA,NA,NA
_075,PQS,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Somewhat important,NA
_076,HPF,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Moderately important,Beginner
_077,PRF,Region 4,Medium,County Health Department,Supervisor,engage,value_CHA,NA,NA
_078,PQS,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Somewhat important,NA
_079,HPF,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Moderately important,Proficient
_080,PQS,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Moderately important,Proficient
_081,PQS,Region 4,Large,County Health Department,Supervisor,engage,value_CHA,NA,NA
_082,KRO,Region 1,Small,County Health Department,Non-supervisor,engage,value_CHA,Somewhat important,NA
_083,KRO,Region 1,Small,County Health Department,Non-supervisor,engage,value_CHA,Moderately important,Proficient
_084,KRO,Region 1,Small,County Health Department,Supervisor,engage,value_CHA,NA,NA
_085,JMO,Region 1,Small,County Health Department,Supervisor,engage,value_CHA,NA,NA
_086,HPF,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Moderately important,Beginner
_087,HPF,Region 4,Large,County Health Department,Executive,engage,value_CHA,NA,NA
_088,PQS,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Moderately important,Proficient
_089,HPF,Region 4,Large,County Health Department,Non-supervisor,engage,value_CHA,Somewhat important,NA
_090,KRO,Region 1,Small,County Health Department,Non-supervisor,engage,value_CHA,Very important,Proficient
