respondent_id,lhj_code,region,size,agency,supervisor_status,domain,topic,imp_rank,skill_rank
_001,QGZ,Region 1,Small,County Health Department,Supervisor,partners,egage_asset_resources,NA,NA
_002,QGZ,Region 1,Small,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Beginner
_003,PQS,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Moderately important,Proficient
_004,SMA,Region 1,Medium,County Health Department,Supervisor,partners,egage_asset_resources,NA,NA
_005,PQS,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Moderately important,Proficient
_006,PQS,Region 4,Large,County Health Department,Supervisor,partners,egage_asset_resources,NA,NA
_007,PQS,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Not Important,NA
_008,PQS,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Somewhat important,NA
_009,PQS,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Proficient
_010,PQS,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Beginner
_011,QGZ,Region 1,Small,County Health Department,Non-supervisor,partners,egage_asset_resources,Moderately important,Proficient
_012,QGZ,Region 1,Small,County Health Department,Non-supervisor,partners,egage_asset_resources,Not Important,NA
_013,PQS,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Proficient
_014,PQS,Region 4,Large,County Health Department,Supervisor,partners,egage_asset_resources,NA,NA
_015,WBW,Region 5,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Proficient
_016,PQS,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Proficient
_017,JIK,Region 1,Frontier,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Proficient
_018,SAA,Region 1,Frontier,County Health Department,Supervisor,partners,egage_asset_resources,NA,NA
_019,SMA,Region 1,Medium,County Health Department,Non-supervisor,partners,egage_asset_resources,Somewhat important,NA
_020,WBW,Region 5,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Proficient
_021,PQS,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Somewhat important,NA
_022,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Proficient
_023,CYQ,Region 5,Small,Tribal Health Department,Supervisor,partners,egage_asset_resources,NA,NA
_024,PQS,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Moderately important,Proficient
_025,CYQ,Region 5,Small,Tribal Health Department,Supervisor,partners,egage_asset_resources,NA,NA
_026,JIK,Region 1,Frontier,County Health Department,Supervisor,partners,egage_asset_resources,NA,NA
_027,CYQ,Region 5,Small,Tribal Health Department,Executive,partners,egage_asset_resources,NA,NA
_028,QGZ,Region 1,Small,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Proficient
_029,PQS,Region 4,Large,County Health Department,Supervisor,partners,egage_asset_resources,NA,NA
_030,PQS,Region 4,Large,County Health Department,Supervisor,partners,egage_asset_resources,NA,NA
_031,PQS,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Beginner
_032,QGZ,Region 1,Small,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Beginner
_033,PQS,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Beginner
_034,PQS,Region 4,Large,County Health Department,Executive,partners,egage_asset_resources,NA,NA
_035,PQS,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Moderately important,Unable to perform
_036,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,partners,egage_asset_resources,Somewhat important,NA
_037,WBW,Region 5,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Proficient
_038,PQS,Region 4,Large,County Health Department,Supervisor,partners,egage_asset_resources,NA,NA
_039,WBW,Region 5,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Proficient
_040,TDK,Region 1,Medium,County Health Department,Non-supervisor,partners,egage_asset_resources,Moderately important,Beginner
_041,CYQ,Region 5,Small,Tribal Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Proficient
_042,TDK,Region 1,Medium,County Health Department,Executive,partners,egage_asset_resources,NA,NA
_043,HPF,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Proficient
_044,HPF,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Proficient
_045,HPF,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Moderately important,Unable to perform
_046,HPF,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Proficient
_047,HPF,Region 4,Large,County Health Department,Supervisor,partners,egage_asset_resources,NA,NA
_048,HPF,Region 4,Large,County Health Department,Executive,partners,egage_asset_resources,NA,NA
_049,TDK,Region 1,Medium,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Proficient
_050,PQS,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Moderately important,Beginner
_051,HPF,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Somewhat important,NA
_052,TDK,Region 1,Medium,County Health Department,Supervisor,partners,egage_asset_resources,NA,NA
_053,TDK,Region 1,Medium,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Beginner
_054,GMU,Region 1,Frontier,County Health Department,Executive,partners,egage_asset_resources,NA,NA
_055,TDK,Region 1,Medium,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Proficient
_056,PQS,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Somewhat important,NA
_057,PQS,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Proficient
_058,HPF,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Moderately important,Beginner
_059,TDK,Region 1,Medium,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Proficient
_060,QGZ,Region 1,Small,County Health Department,Non-supervisor,partners,egage_asset_resources,Somewhat important,NA
_061,PQS,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Beginner
_062,ZAP,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Expert
_063,PQS,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Proficient
_064,ZAP,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Somewhat important,NA
_065,ZAP,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Proficient
_066,QGZ,Region 1,Small,County Health Department,Supervisor,partners,egage_asset_resources,NA,NA
_067,TDK,Region 1,Medium,County Health Department,Supervisor,partners,egage_asset_resources,NA,NA
_068,ZAP,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Proficient
_069,HPF,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Moderately important,Proficient
_070,HPF,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Beginner
_071,WBW,Region 5,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Proficient
_072,PQS,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Proficient
_073,WBW,Region 5,Large,County Health Department,Supervisor,partners,egage_asset_resources,NA,NA
_074,PQS,Region 4,Large,County Health Department,Supervisor,partners,egage_asset_resources,NA,NA
_075,PQS,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Very important,Proficient
_076,HPF,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Somewhat important,NA
_077,PRF,Region 4,Medium,County Health Department,Supervisor,partners,egage_asset_resources,NA,NA
_078,PQS,Region 4,Large,County Health Department,Non-supervisor,partners,egage_asset_resources,Moderately important,Beginner
