respondent_id,lhj_code,region,size,agency,supervisor_status,,pref_formats,pref_notify,pref_barriers,barriers_others,pref_location,other_topics,fam_train,prof_dev_train,pref_train_participated,pref_train_recat,pref_train_other
_001,QGZ,Region 1,Small,County Health Department,Supervisor,,"Online learning (self-paced workshops),Retreats (1 or 2-day sessions),Blended (combination of online and in-person components),Toolkit / Resource Manual","Email,Connected Community,Digital Newsletter,Social media","Location,Time of the year,Costs",NA,"Billings,Glasgow,Glendive,Miles City ,Sidney",Motivating staff,I have created an account and taken some of the available trainings.,Yes,"Confluence 2025 (Helena),Montana Public Health 101,Virtual MT PHTC Trainings","Confluence,Montana Public Health 101,Virtual MT PHTC Trainings",NA
_002,QGZ,Region 1,Small,County Health Department,Non-supervisor,,"In-person, hands on workshops,Online learning (live workshops),Online learning (self-paced workshops),Toolkit / Resource Manual,Job shadowing",Email,Other (please specify),Just started my job in October so am still learning and taking trainings as needed,"Billings,Glendive,Miles City ,Sidney",n/a,I have created an account and taken some of the available trainings.,No,NA,NA,NA
_003,PQS,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Lectures,Blended (combination of online and in-person components)",Email,Other (please specify),New to the position,"Bozeman,Butte,Great Falls,Helena,Missoula",NA,I have created an account.,No,NA,NA,NA
_004,SMA,Region 1,Medium,County Health Department,Supervisor,,"Online learning (live workshops),Online learning (self-paced workshops),Toolkit / Resource Manual",Email,"Location,Time of the year,Logistics of travel,Family Responsibilities,Costs",NA,"Billings,Glendive,Miles City",NA,I have created an account and taken some of the available trainings.,Yes,"Montana Public Health 101,Virtual MT PHTC Trainings","Montana Public Health 101,Virtual MT PHTC Trainings",NA
_005,PQS,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Online learning (live workshops),Online learning (self-paced workshops),Retreats (1 or 2-day sessions),Blended (combination of online and in-person components)","Email,Social media",Unaware of training events,NA,"Butte,Great Falls,Helena,Missoula",NA,I have created an account and taken some of the available trainings.,Yes,Montana Public Health 101,Montana Public Health 101,NA
_006,PQS,Region 4,Large,County Health Department,Supervisor,,"In-person, hands on workshops,Online learning (live workshops),Online learning (self-paced workshops),Toolkit / Resource Manual",Email,"Location,Logistics of travel,Costs",NA,"Bozeman,Great Falls,Helena",NA,I have heard of it but not created an account.,Yes,"Virtual MT PHTC Trainings,Other (please specify)","Virtual MT PHTC Trainings,Other (please specify)","DP""H""HS-EHFSS webinars, Trailhead Leadership training"
_007,PQS,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Online learning (self-paced workshops),Blended (combination of online and in-person components)","Email,Connected Community,Digital Newsletter",Costs,NA,"Bozeman,Butte,Great Falls,Helena,Missoula",NA,I have created an account.,Yes,"Confluence 2025 (Helena),Virtual MT PHTC Trainings","Confluence,Virtual MT PHTC Trainings",NA
_008,PQS,Region 4,Large,County Health Department,Non-supervisor,,"Online learning (live workshops),Online learning (self-paced workshops)",Email,Other (please specify),Haven't been here very long,Helena,NA,I have created an account and taken some of the available trainings.,Yes,Montana Public Health 101,Montana Public Health 101,NA
_009,PQS,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops",Email,"Unaware of training events,Logistics of travel,Family Responsibilities,Costs",NA,"Bozeman,Butte,Great Falls,Helena,Missoula",NA,I have never heard of TRAIN Montana and do not know how to access it.,Yes,Other (please specify),Other (please specify),Program specific
_010,PQS,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Group meetings,Retreats (1 or 2-day sessions),Toolkit / Resource Manual,Job shadowing",Email,"Unaware of training events,Location,Logistics of travel,Can't leave department / no back up,Costs",NA,"Bozeman,Butte,Great Falls,Helena,Missoula",NA,I have created an account.,No,NA,NA,NA
_011,QGZ,Region 1,Small,County Health Department,Non-supervisor,,"In-person, hands on workshops,Group meetings,Lectures,Retreats (1 or 2-day sessions),Blended (combination of online and in-person components)",Email,"Location,Logistics of travel,Topics that do not interest me,Costs",NA,"Billings,Glasgow,Glendive,Miles City ,Sidney",NA,I have heard of it but not created an account.,Yes,"Confluence 2023 (Billings),Confluence 2025 (Helena)","Confluence,Confluence",NA
_012,QGZ,Region 1,Small,County Health Department,Non-supervisor,,Online learning (self-paced workshops),Email,Other (please specify),Don't apply to me in my position.,"Billings,Glendive,Miles City ,Sidney",NA,I have heard of it but not created an account.,No,NA,NA,NA
_013,PQS,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Group meetings,Lectures,Online learning (live workshops),Retreats (1 or 2-day sessions),Meeting one on one with a mentor,Blended (combination of online and in-person components)",Email,Costs,NA,"Bozeman,Butte,Great Falls,Helena,Missoula",NA,I have created an account and taken some of the available trainings.,Yes,"Confluence 2023 (Billings),Montana Public Health 101,2023 NACCHO 360 Annual Conference","Confluence,Montana Public Health 101,2023 NACCHO 360 Annual Conference",NA
_014,PQS,Region 4,Large,County Health Department,Supervisor,,"In-person, hands on workshops,Group meetings,Online learning (live workshops),Online learning (self-paced workshops),Retreats (1 or 2-day sessions),Multi-session series of trainings,Job shadowing",Email,"Unaware of training events,Can't leave department / no back up,Costs,Other (please specify)",Rarely are there any training opportunities for Adminstrative staff,"Bozeman,Butte,Great Falls,Helena",NA,I have created an account and taken some of the available trainings.,No,NA,NA,NA
_015,WBW,Region 5,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Group meetings,Lectures,Online learning (live workshops),Online learning (self-paced workshops),Retreats (1 or 2-day sessions),Meeting one on one with a mentor,Blended (combination of online and in-person components),Job shadowing","Email,Connected Community,Social media,Organization / Agency Websites","Unaware of training events,Can't leave department / no back up,Other (please specify)",not considered important for my position,"Bozeman,Great Falls,Helena,Kalispell ,Missoula ,Other (please specify)","Front Desk, public communication boundaries, blurred lines where public health is concerned",I have heard of it but not created an account.,Yes,Other (please specify),Other (please specify),none of the above
_016,PQS,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Lectures,Online learning (self-paced workshops),Multi-session series of trainings,Blended (combination of online and in-person components),Toolkit / Resource Manual",Email,"Time of the year,Logistics of travel,Costs",NA,"Bozeman,Butte,Helena,Missoula","Substance misuse, communication skills, facilitation skills, Coalition building/maintaining, AI",I have heard of it but not created an account.,Yes,"Confluence 2025 (Helena),Montana Public Health 101","Confluence,Montana Public Health 101",NA
_017,JIK,Region 1,Frontier,County Health Department,Non-supervisor,,"In-person, hands on workshops,Group meetings,Online learning (self-paced workshops)",Email,"Location,Time of the year,Logistics of travel,Family Responsibilities",NA,Miles City,NA,I have created an account.,No,NA,NA,NA
_018,SAA,Region 1,Frontier,County Health Department,Supervisor,,"In-person, hands on workshops,Group meetings,Retreats (1 or 2-day sessions)",Email,Unaware of training events,NA,"Billings,Glendive,Miles City",NA,I have heard of it but not created an account.,No,NA,NA,NA
_019,SMA,Region 1,Medium,County Health Department,Non-supervisor,,"Group meetings,Lectures,Online learning (live workshops),Online learning (self-paced workshops),Retreats (1 or 2-day sessions),Multi-session series of trainings",Email,"Location,Logistics of travel,Family Responsibilities",NA,"Billings,Glendive,Miles City ,Sidney",NA,I have created an account and taken some of the available trainings.,Yes,"2023 MT Public Health Summer Institute (Missoula),Virtual MT PHTC Trainings","Summer Institute,Virtual MT PHTC Trainings",NA
_020,WBW,Region 5,Large,County Health Department,Non-supervisor,,Retreats (1 or 2-day sessions),"Connected Community,Social media",Unaware of training events,NA,"Kalispell ,Missoula",NA,I have heard of it but not created an account.,No,NA,NA,NA
_021,PQS,Region 4,Large,County Health Department,Non-supervisor,,"In-person, hands on workshops,Lectures,Online learning (live workshops),Online learning (self-paced workshops),Blended (combination of online and in-person components),Job shadowing",Organization / Agency Websites,"Unaware of training events,Location,Logistics of travel,Can't leave department / no back up,Costs",NA,Helena,NA,I have never heard of TRAIN Montana and do not know how to access it.,No,NA,NA,NA
