"domain","supervisor_status","section","question_id","topic","imp_recat","skill_recat","skill_n","imp_n","imp_prop","skill_prop","priority_score","domain_cat","skill_cat","question_text"
"budget","Executive","SecD","SecD10","bill_accurate","Moderately/Very Important","Unable to Perform/Beginner",8,18,78.2608695652174,44.4444444444444,34.7826086956522,"budget, change, policy, systems","Budget & Financial Management","Demonstrates the ability to bill for public health services accurately and effectively, while understanding and utilizing revenue generation sources to support and sustain departmental operations."
"budget","Executive","SecD","SecD9","design_bus_plan","Moderately/Very Important","Unable to Perform/Beginner",8,19,82.6086956521739,42.1052631578947,34.7826086956522,"budget, change, policy, systems","Budget & Financial Management","Design a business plan for the agency (e.g., tool for analyzing and planning for a product or service that will meet a community need, will generate revenue, and be sustainable)"
"budget","Executive","SecD","SecD6","leverage_funding","Moderately/Very Important","Unable to Perform/Beginner",7,21,91.304347826087,33.3333333333333,30.4347826086957,"budget, change, policy, systems","Budget & Financial Management","Leverage funding mechanisms and procedures to develop sustainable funding models for the agency (e.g., categorical grants, state general funds, fees, third-party reimbursement, tobacco taxes, value-based purchasing, budget approval process)"
"policy","Executive","SecI","SecI6","prior_influ","Moderately/Very Important","Unable to Perform/Beginner",7,19,82.6086956521739,36.8421052631579,30.4347826086956,"budget, change, policy, systems","Policy Engagement","Prioritize and influence policies external to the organization that affect the health of the community (e.g., transportation routes, earned sick leave, tobacco 21, affordable housing/inclusionary zoning, complete streets, healthy food procurement"
"justice","Executive","SecC","SecC9","ensure_implement_appropriate","Moderately/Very Important","Unable to Perform/Beginner",6,22,95.6521739130435,27.2727272727273,26.0869565217391,"DEI/justice","Justice, Equity, Diversity, and Inclusion","Ensure the implementation of socially, culturally, and linguistically appropriate policies, programs, and services that reflect the diversity of individuals and populations in a community"
"systems","Executive","SecF","SecF11","ensure_implement_plan","Moderately/Very Important","Unable to Perform/Beginner",6,20,86.9565217391304,30,26.0869565217391,"budget, change, policy, systems","Systems & Strategic Thinking","Ensure the successful implementation of an organizational strategic plan"
"systems","Executive","SecF","SecF5","infl_policy_SDOH","Moderately/Very Important","Unable to Perform/Beginner",6,18,78.2608695652174,33.3333333333333,26.0869565217391,"budget, change, policy, systems","Systems & Strategic Thinking","Influence policies external to the organization that address social determinants of health (e.g., zoning, transportation routes, etc.)"
"policy","Executive","SecI","SecI3","determin_feasible","Moderately/Very Important","Unable to Perform/Beginner",6,21,91.304347826087,28.5714285714286,26.0869565217391,"budget, change, policy, systems","Policy Engagement","Determine the feasibility (e.g., fiscal, social, political, legal, geographic) of a policy and its relationship to many types of public health problems."
"systems","Executive","SecF","SecF2","integ_trends_org_plan","Moderately/Very Important","Unable to Perform/Beginner",6,19,82.6086956521739,31.5789473684211,26.0869565217391,"budget, change, policy, systems","Systems & Strategic Thinking","Integrate current and projected trends (e.g., physical, political, social, fiscal, etc.) into organizational strategic planning"
"justice","Executive","SecC","SecC6","incorporate_DEI_agency","Moderately/Very Important","Unable to Perform/Beginner",5,21,91.304347826087,23.8095238095238,21.7391304347826,"DEI/justice","Justice, Equity, Diversity, and Inclusion","Incorporate health equity and social justice principles into planning across the agency (e.g., include health equity in a strategic plan, promote health-in-all-policies, engage marginalized and under-resourced communities in decision making)"
