"column","response","n","prop","pref_label"
"pref_formats","hands on workshops",371,0.828125,"83% (371)"
"pref_formats","In-person",371,0.828125,"83% (371)"
"pref_formats","Online learning (self-paced workshops)",230,0.513392857142857,"51% (230)"
"pref_formats","Online learning (live workshops)",225,0.502232142857143,"50% (225)"
"pref_formats","Retreats (1 or 2-day sessions)",199,0.444196428571429,"44% (199)"
"pref_formats","Blended (combination of online and in-person components)",144,0.321428571428571,"32% (144)"
"pref_formats","Group meetings",132,0.294642857142857,"29% (132)"
"pref_formats","Multi-session series of trainings",124,0.276785714285714,"28% (124)"
"pref_formats","Toolkit / Resource Manual",115,0.256696428571429,"26% (115)"
"pref_formats","Lectures",110,0.245535714285714,"25% (110)"
"pref_formats","Job shadowing",91,0.203125,"20% (91)"
"pref_formats","Meeting one on one with a mentor",63,0.140625,"14% (63)"
"pref_formats","Colleagues observing me & providing feedback",36,0.0803571428571429,"8% (36)"
"pref_formats","Other (please specify)",1,0.00223214285714286,"0% (1)"
