"domain","supervisor_status","section","question_id","topic","imp_recat","skill_recat","skill_n","imp_n","imp_prop","skill_prop","priority_score","domain_cat","skill_cat","question_text"
"budget","Supervisor","SecD","SecD5","id_funding_programs","Moderately/Very Important","Unable to Perform/Beginner",46,84,85.7142857142857,54.7619047619048,46.9387755102041,"budget, change, policy, systems","Budget & Financial Management","Identify funding mechanisms and procedures to develop sustainable funding models for programs and services (e.g., categorical grants, state general funds, fees, third-party reimbursement, tobacco taxes, value-based purchasing, budget approval process)"
"budget","Supervisor","SecD","SecD8","imp_bus_plan","Moderately/Very Important","Unable to Perform/Beginner",44,74,75.5102040816327,59.4594594594595,44.8979591836735,"budget, change, policy, systems","Budget & Financial Management","Implement a business plan for agency programs and services (e.g., tool for analyzing and planning for a product or service that will meet a community need, will generate revenue, and be sustainable)"
"policy","Supervisor","SecI","SecI5","id_assess_opts","Moderately/Very Important","Unable to Perform/Beginner",44,74,75.5102040816327,59.4594594594595,44.8979591836735,"budget, change, policy, systems","Policy Engagement","Identify and assess options for policies external to the organization that affect the health of the community (e.g., transportation routes, earned sick leave, tobacco 21, affordable housing/inclusionary zoning, complete streets, healthy food procurement)"
"policy","Supervisor","SecI","SecI2","exam_feasible","Moderately/Very Important","Unable to Perform/Beginner",42,75,76.530612244898,56,42.8571428571429,"budget, change, policy, systems","Policy Engagement","Examine the feasibility (e.g., fiscal, social, political, legal, geographic) of a policy and its relationship to many types of public health problems"
"systems","Supervisor","SecF","SecF1","integ_trends_programs","Moderately/Very Important","Unable to Perform/Beginner",39,82,83.6734693877551,47.5609756097561,39.7959183673469,"budget, change, policy, systems","Systems & Strategic Thinking","Integrate current and projected trends (e.g., physical, political, social, fiscal, etc.) into strategic planning for programs and services"
"systems","Supervisor","SecF","SecF13","comm_staff_FPHS","Moderately/Very Important","Unable to Perform/Beginner",39,77,78.5714285714286,50.6493506493507,39.7959183673469,"budget, change, policy, systems","Systems & Strategic Thinking","Effectively communicates how staff work aligns with the Foundational Public Health Services (FPHS) and the broader public health system, and actively encourages staff to integrate and align their efforts with these foundational areas and capabilities."
"budget","Supervisor","SecD","SecD10","bill_accurate","Moderately/Very Important","Unable to Perform/Beginner",38,79,80.6122448979592,48.1012658227848,38.7755102040816,"budget, change, policy, systems","Budget & Financial Management","Demonstrates the ability to bill for public health services accurately and effectively, while understanding and utilizing revenue generation sources to support and sustain departmental operations."
"change","Supervisor","SecE","SecE2","modify_practices","Moderately/Very Important","Unable to Perform/Beginner",37,81,82.6530612244898,45.679012345679,37.7551020408163,"budget, change, policy, systems","Change Management","Modify programmatic practices in consideration of internal and external changes (e.g., social, political, economic, scientific)"
"change","Supervisor","SecE","SecE5","assess_envir_factors_programs","Moderately/Very Important","Unable to Perform/Beginner",37,87,88.7755102040816,42.5287356321839,37.7551020408163,"budget, change, policy, systems","Change Management","Assess the drivers in your environment (e.g., physical, political, social, fiscal, etc.) that may influence public health programs and services"
"budget","Supervisor","SecD","SecD2","use_methods_programs","Moderately/Very Important","Unable to Perform/Beginner",36,81,82.6530612244898,44.4444444444444,36.734693877551,"budget, change, policy, systems","Budget & Financial Management","Use financial analysis methods in managing programs and services"
